animation_id,frame_id,run_id,sample_id,state,category,x_mm,y_mm,target_zone,event_type,event_label,notes
baseline_multi_box_sorting,98,baseline_multi_box_run,MBOX-055,PICK_TUBE,Category D,-400.000,39.000,output_D,pick,pick tube,pick tube
baseline_multi_box_sorting,99,baseline_multi_box_run,MBOX-055,APPROACH_TARGET_SLOT,Category D,300.000,-54.000,output_D,trajectory,APPROACH_TARGET_SLOT,approach target slot
baseline_multi_box_sorting,100,baseline_multi_box_run,MBOX-056,APPROACH_SCAN_STATION,Category A,-140.000,60.000,output_A,trajectory,APPROACH_SCAN_STATION,approach scan station
baseline_multi_box_sorting,101,baseline_multi_box_run,MBOX-057,MOVE_SAFE_ABOVE_INPUT,Category B,-344.000,39.000,output_B,move_to_input,move to input,move to input safe height
baseline_multi_box_sorting,102,baseline_multi_box_run,MBOX-057,LIFT_TO_SAFE_Z_AFTER_SCAN,Category B,-140.000,60.000,output_B,trajectory,LIFT_TO_SAFE_Z_AFTER_SCAN,lift after scan
baseline_multi_box_sorting,103,baseline_multi_box_run,MBOX-058,LIFT_TO_SAFE_Z,manual_review,-316.000,39.000,manual_review,trajectory,LIFT_TO_SAFE_Z,lift picked tube
baseline_multi_box_sorting,104,baseline_multi_box_run,MBOX-058,PLACE_TUBE,manual_review,-208.000,-314.000,manual_review,place_to_manual_review,place to manual review,place tube
baseline_multi_box_sorting,105,baseline_multi_box_run,MBOX-059,SCAN_BARCODE,Category C,-140.000,60.000,output_C,scan,scan barcode,scan and classify
baseline_multi_box_sorting,106,baseline_multi_box_run,MBOX-060,APPROACH_INPUT_SLOT,Category D,-260.000,39.000,output_D,trajectory,APPROACH_INPUT_SLOT,approach input slot
baseline_multi_box_sorting,107,baseline_multi_box_run,MBOX-060,MOVE_SAFE_ABOVE_TARGET,Category D,328.000,-54.000,output_D,move_to_output,move to target,move above target
baseline_multi_box_sorting,108,baseline_multi_box_run,MBOX-061,MOVE_SAFE_ABOVE_SCAN,Category A,-140.000,60.000,output_A,move_to_scan,move to scan,move above scan station
baseline_multi_box_sorting,109,baseline_multi_box_run,MBOX-061,RETREAT_TO_SAFE_Z,Category A,146.000,156.000,output_A,trajectory,RETREAT_TO_SAFE_Z,retreat after place
baseline_multi_box_sorting,110,baseline_multi_box_run,MBOX-062,CLASSIFY_SAMPLE,Category B,-140.000,60.000,output_B,classify,classify sample,scan and classify
baseline_multi_box_sorting,111,baseline_multi_box_run,MBOX-063,PICK_TUBE,Category C,-344.000,11.000,output_C,pick,pick tube,pick tube
baseline_multi_box_sorting,112,baseline_multi_box_run,MBOX-063,APPROACH_TARGET_SLOT,Category C,146.000,-54.000,output_C,trajectory,APPROACH_TARGET_SLOT,approach target slot
baseline_multi_box_sorting,113,baseline_multi_box_run,MBOX-064,APPROACH_SCAN_STATION,Category D,-140.000,60.000,output_D,trajectory,APPROACH_SCAN_STATION,approach scan station
baseline_multi_box_sorting,114,baseline_multi_box_run,MBOX-065,MOVE_SAFE_ABOVE_INPUT,Category A,-288.000,11.000,output_A,move_to_input,move to input,move to input safe height
baseline_multi_box_sorting,115,baseline_multi_box_run,MBOX-065,LIFT_TO_SAFE_Z_AFTER_SCAN,Category A,-140.000,60.000,output_A,trajectory,LIFT_TO_SAFE_Z_AFTER_SCAN,lift after scan
baseline_multi_box_sorting,116,baseline_multi_box_run,MBOX-066,LIFT_TO_SAFE_Z,Category B,-260.000,11.000,output_B,trajectory,LIFT_TO_SAFE_Z,lift picked tube
baseline_multi_box_sorting,117,baseline_multi_box_run,MBOX-066,PLACE_TUBE,Category B,384.000,156.000,output_B,place_to_output,place to Category B,place tube
baseline_multi_box_sorting,118,baseline_multi_box_run,MBOX-067,SCAN_BARCODE,Category C,-140.000,60.000,output_C,scan,scan barcode,scan and classify
baseline_multi_box_sorting,119,baseline_multi_box_run,MBOX-068,APPROACH_INPUT_SLOT,Category D,-372.000,-17.000,output_D,trajectory,APPROACH_INPUT_SLOT,approach input slot
baseline_multi_box_sorting,120,baseline_multi_box_run,MBOX-068,MOVE_SAFE_ABOVE_TARGET,Category D,384.000,-54.000,output_D,move_to_output,move to target,move above target
baseline_multi_box_sorting,121,baseline_multi_box_run,MBOX-069,MOVE_SAFE_ABOVE_SCAN,Category A,-140.000,60.000,output_A,move_to_scan,move to scan,move above scan station
baseline_multi_box_sorting,122,baseline_multi_box_run,MBOX-069,RETREAT_TO_SAFE_Z,Category A,202.000,156.000,output_A,trajectory,RETREAT_TO_SAFE_Z,retreat after place
baseline_multi_box_sorting,123,baseline_multi_box_run,MBOX-070,CLASSIFY_SAMPLE,Category B,-140.000,60.000,output_B,classify,classify sample,scan and classify
baseline_multi_box_sorting,124,baseline_multi_box_run,MBOX-071,PICK_TUBE,Category C,-288.000,-17.000,output_C,pick,pick tube,pick tube
baseline_multi_box_sorting,125,baseline_multi_box_run,MBOX-071,APPROACH_TARGET_SLOT,Category C,202.000,-54.000,output_C,trajectory,APPROACH_TARGET_SLOT,approach target slot
baseline_multi_box_sorting,126,baseline_multi_box_run,MBOX-072,APPROACH_SCAN_STATION,Category D,-140.000,60.000,output_D,trajectory,APPROACH_SCAN_STATION,approach scan station
baseline_multi_box_sorting,127,baseline_multi_box_run,MBOX-073,MOVE_SAFE_ABOVE_INPUT,Category C,-400.000,-63.000,manual_review,move_to_input,move to input,move to input safe height
baseline_multi_box_sorting,128,baseline_multi_box_run,MBOX-073,LIFT_TO_SAFE_Z_AFTER_SCAN,Category C,-140.000,60.000,manual_review,trajectory,LIFT_TO_SAFE_Z_AFTER_SCAN,lift after scan
baseline_multi_box_sorting,129,baseline_multi_box_run,MBOX-073,PLACE_TUBE,Category C,-180.000,-314.000,manual_review,place_to_manual_review,place to manual review,place tube
baseline_multi_box_sorting,130,baseline_multi_box_run,MBOX-074,LIFT_TO_SAFE_Z,Category A,-372.000,-63.000,output_A,trajectory,LIFT_TO_SAFE_Z,lift picked tube
baseline_multi_box_sorting,131,baseline_multi_box_run,MBOX-074,PLACE_TUBE,Category A,230.000,156.000,output_A,place_to_output,place to Category A,place tube
baseline_multi_box_sorting,132,baseline_multi_box_run,MBOX-075,SCAN_BARCODE,Category B,-140.000,60.000,output_B,scan,scan barcode,scan and classify
baseline_multi_box_sorting,133,baseline_multi_box_run,MBOX-076,APPROACH_INPUT_SLOT,Category C,-316.000,-63.000,output_C,trajectory,APPROACH_INPUT_SLOT,approach input slot
baseline_multi_box_sorting,134,baseline_multi_box_run,MBOX-076,MOVE_SAFE_ABOVE_TARGET,Category C,230.000,-54.000,output_C,move_to_output,move to target,move above target
baseline_multi_box_sorting,135,baseline_multi_box_run,MBOX-077,MOVE_SAFE_ABOVE_SCAN,Category D,-140.000,60.000,output_D,move_to_scan,move to scan,move above scan station
baseline_multi_box_sorting,136,baseline_multi_box_run,MBOX-077,RETREAT_TO_SAFE_Z,Category D,440.000,-54.000,output_D,trajectory,RETREAT_TO_SAFE_Z,retreat after place
baseline_multi_box_sorting,137,baseline_multi_box_run,MBOX-078,CLASSIFY_SAMPLE,Category A,-140.000,60.000,output_A,classify,classify sample,scan and classify
baseline_multi_box_sorting,138,baseline_multi_box_run,MBOX-079,PICK_TUBE,Category B,-400.000,-91.000,output_B,pick,pick tube,pick tube
