trajectory_id,sample_id,step_order,state,x_mm,y_mm,z_mm,within_x_range,within_y_range,within_z_range,check_status,notes
traj_011,TUBE-011,2,APPROACH_INPUT_SLOT,-118.000,314.000,120.000,yes,yes,yes,ok,within Stage 6A workspace
traj_011,TUBE-011,3,PICK_TUBE,-118.000,314.000,80.000,yes,yes,yes,ok,within Stage 6A workspace
traj_011,TUBE-011,4,LIFT_TO_SAFE_Z,-118.000,314.000,180.000,yes,yes,yes,ok,within Stage 6A workspace
traj_011,TUBE-011,5,MOVE_SAFE_ABOVE_SCAN,-92.000,170.000,180.000,yes,yes,yes,ok,within Stage 6A workspace
traj_011,TUBE-011,6,APPROACH_SCAN_STATION,-92.000,170.000,75.000,yes,yes,yes,ok,within Stage 6A workspace
traj_011,TUBE-011,7,SCAN_BARCODE,-92.000,170.000,75.000,yes,yes,yes,ok,within Stage 6A workspace
traj_011,TUBE-011,8,LIFT_TO_SAFE_Z_AFTER_SCAN,-92.000,170.000,180.000,yes,yes,yes,ok,within Stage 6A workspace
traj_011,TUBE-011,9,MOVE_SAFE_ABOVE_TARGET,278.000,-146.000,180.000,yes,yes,yes,ok,within Stage 6A workspace
traj_011,TUBE-011,10,APPROACH_TARGET_SLOT,278.000,-146.000,120.000,yes,yes,yes,ok,within Stage 6A workspace
traj_011,TUBE-011,11,PLACE_TUBE,278.000,-146.000,70.000,yes,yes,yes,ok,within Stage 6A workspace
traj_011,TUBE-011,12,RETREAT_TO_SAFE_Z,278.000,-146.000,180.000,yes,yes,yes,ok,within Stage 6A workspace
traj_012,TUBE-012,1,MOVE_SAFE_ABOVE_INPUT,-90.000,314.000,180.000,yes,yes,yes,ok,within Stage 6A workspace
traj_012,TUBE-012,2,APPROACH_INPUT_SLOT,-90.000,314.000,120.000,yes,yes,yes,ok,within Stage 6A workspace
traj_012,TUBE-012,3,PICK_TUBE,-90.000,314.000,55.000,yes,yes,yes,ok,within Stage 6A workspace
traj_012,TUBE-012,4,LIFT_TO_SAFE_Z,-90.000,314.000,180.000,yes,yes,yes,ok,within Stage 6A workspace
traj_012,TUBE-012,5,MOVE_SAFE_ABOVE_SCAN,-92.000,170.000,180.000,yes,yes,yes,ok,within Stage 6A workspace
traj_012,TUBE-012,6,APPROACH_SCAN_STATION,-92.000,170.000,75.000,yes,yes,yes,ok,within Stage 6A workspace
traj_012,TUBE-012,7,SCAN_BARCODE,-92.000,170.000,75.000,yes,yes,yes,ok,within Stage 6A workspace
traj_012,TUBE-012,8,LIFT_TO_SAFE_Z_AFTER_SCAN,-92.000,170.000,180.000,yes,yes,yes,ok,within Stage 6A workspace
traj_012,TUBE-012,9,MOVE_SAFE_ABOVE_TARGET,118.000,-316.000,180.000,yes,yes,yes,ok,within Stage 6A workspace
traj_012,TUBE-012,10,APPROACH_TARGET_SLOT,118.000,-316.000,120.000,yes,yes,yes,ok,within Stage 6A workspace
traj_012,TUBE-012,11,PLACE_TUBE,118.000,-316.000,45.000,yes,yes,yes,ok,within Stage 6A workspace
traj_012,TUBE-012,12,RETREAT_TO_SAFE_Z,118.000,-316.000,180.000,yes,yes,yes,ok,within Stage 6A workspace
traj_013,TUBE-013,1,MOVE_SAFE_ABOVE_INPUT,-230.000,286.000,180.000,yes,yes,yes,ok,within Stage 6A workspace
traj_013,TUBE-013,2,APPROACH_INPUT_SLOT,-230.000,286.000,120.000,yes,yes,yes,ok,within Stage 6A workspace
traj_013,TUBE-013,3,PICK_TUBE,-230.000,286.000,55.000,yes,yes,yes,ok,within Stage 6A workspace
traj_013,TUBE-013,4,LIFT_TO_SAFE_Z,-230.000,286.000,180.000,yes,yes,yes,ok,within Stage 6A workspace
traj_013,TUBE-013,5,MOVE_SAFE_ABOVE_SCAN,-92.000,170.000,180.000,yes,yes,yes,ok,within Stage 6A workspace
traj_013,TUBE-013,6,APPROACH_SCAN_STATION,-92.000,170.000,75.000,yes,yes,yes,ok,within Stage 6A workspace
traj_013,TUBE-013,7,SCAN_BARCODE,-92.000,170.000,75.000,yes,yes,yes,ok,within Stage 6A workspace
traj_013,TUBE-013,8,LIFT_TO_SAFE_Z_AFTER_SCAN,-92.000,170.000,180.000,yes,yes,yes,ok,within Stage 6A workspace
traj_013,TUBE-013,9,MOVE_SAFE_ABOVE_TARGET,278.000,-316.000,180.000,yes,yes,yes,ok,within Stage 6A workspace
traj_013,TUBE-013,10,APPROACH_TARGET_SLOT,278.000,-316.000,120.000,yes,yes,yes,ok,within Stage 6A workspace
traj_013,TUBE-013,11,PLACE_TUBE,278.000,-316.000,45.000,yes,yes,yes,ok,within Stage 6A workspace
traj_013,TUBE-013,12,RETREAT_TO_SAFE_Z,278.000,-316.000,180.000,yes,yes,yes,ok,within Stage 6A workspace
traj_014,TUBE-014,1,MOVE_SAFE_ABOVE_INPUT,-202.000,286.000,180.000,yes,yes,yes,ok,within Stage 6A workspace
traj_014,TUBE-014,2,APPROACH_INPUT_SLOT,-202.000,286.000,120.000,yes,yes,yes,ok,within Stage 6A workspace
traj_014,TUBE-014,3,PICK_TUBE,-202.000,286.000,55.000,yes,yes,yes,ok,within Stage 6A workspace
traj_014,TUBE-014,4,LIFT_TO_SAFE_Z,-202.000,286.000,180.000,yes,yes,yes,ok,within Stage 6A workspace
