frame_id,sample_id,state,x_mm,y_mm,target_zone,event_label,notes
189,TUBE-016,MOVE_SAFE_ABOVE_TARGET,-205.000,-316.000,manual_review_bin,scan_failed / manual_review,move above selected target
190,TUBE-016,APPROACH_TARGET_SLOT,-205.000,-316.000,manual_review_bin,scan_failed / manual_review,approach target slot
191,TUBE-016,PLACE_TUBE,-205.000,-316.000,manual_review_bin,scan_failed / manual_review,place 75 mm tube
192,TUBE-016,RETREAT_TO_SAFE_Z,-205.000,-316.000,manual_review_bin,scan_failed / manual_review,retreat after place
193,TUBE-017,MOVE_SAFE_ABOVE_INPUT,-118.000,286.000,category_c_bin,Category C,above input slot
194,TUBE-017,APPROACH_INPUT_SLOT,-118.000,286.000,category_c_bin,Category C,approach input slot
195,TUBE-017,PICK_TUBE,-118.000,286.000,category_c_bin,Category C,grip 75 mm tube
196,TUBE-017,LIFT_TO_SAFE_Z,-118.000,286.000,category_c_bin,Category C,lift picked tube
197,TUBE-017,MOVE_SAFE_ABOVE_SCAN,-92.000,170.000,category_c_bin,Category C,move above scan station
198,TUBE-017,APPROACH_SCAN_STATION,-92.000,170.000,category_c_bin,Category C,present tube to scanner
199,TUBE-017,SCAN_BARCODE,-92.000,170.000,category_c_bin,Category C,scan and classify sample
200,TUBE-017,LIFT_TO_SAFE_Z_AFTER_SCAN,-92.000,170.000,category_c_bin,Category C,lift after scan
201,TUBE-017,MOVE_SAFE_ABOVE_TARGET,62.000,-344.000,category_c_bin,Category C,move above selected target
202,TUBE-017,APPROACH_TARGET_SLOT,62.000,-344.000,category_c_bin,Category C,approach target slot
203,TUBE-017,PLACE_TUBE,62.000,-344.000,category_c_bin,Category C,place 75 mm tube
204,TUBE-017,RETREAT_TO_SAFE_Z,62.000,-344.000,category_c_bin,Category C,retreat after place
205,TUBE-018,MOVE_SAFE_ABOVE_INPUT,-90.000,286.000,category_d_bin,Category D,above input slot
206,TUBE-018,APPROACH_INPUT_SLOT,-90.000,286.000,category_d_bin,Category D,approach input slot
207,TUBE-018,PICK_TUBE,-90.000,286.000,category_d_bin,Category D,grip 75 mm tube
208,TUBE-018,LIFT_TO_SAFE_Z,-90.000,286.000,category_d_bin,Category D,lift picked tube
209,TUBE-018,MOVE_SAFE_ABOVE_SCAN,-92.000,170.000,category_d_bin,Category D,move above scan station
210,TUBE-018,APPROACH_SCAN_STATION,-92.000,170.000,category_d_bin,Category D,present tube to scanner
211,TUBE-018,SCAN_BARCODE,-92.000,170.000,category_d_bin,Category D,scan and classify sample
212,TUBE-018,LIFT_TO_SAFE_Z_AFTER_SCAN,-92.000,170.000,category_d_bin,Category D,lift after scan
213,TUBE-018,MOVE_SAFE_ABOVE_TARGET,222.000,-344.000,category_d_bin,Category D,move above selected target
214,TUBE-018,APPROACH_TARGET_SLOT,222.000,-344.000,category_d_bin,Category D,approach target slot
215,TUBE-018,PLACE_TUBE,222.000,-344.000,category_d_bin,Category D,place 75 mm tube
216,TUBE-018,RETREAT_TO_SAFE_Z,222.000,-344.000,category_d_bin,Category D,retreat after place
217,TUBE-019,MOVE_SAFE_ABOVE_INPUT,-230.000,258.000,category_a_bin,Category A,above input slot
218,TUBE-019,APPROACH_INPUT_SLOT,-230.000,258.000,category_a_bin,Category A,approach input slot
219,TUBE-019,PICK_TUBE,-230.000,258.000,category_a_bin,Category A,grip 75 mm tube
220,TUBE-019,LIFT_TO_SAFE_Z,-230.000,258.000,category_a_bin,Category A,lift picked tube
221,TUBE-019,MOVE_SAFE_ABOVE_SCAN,-92.000,170.000,category_a_bin,Category A,move above scan station
222,TUBE-019,APPROACH_SCAN_STATION,-92.000,170.000,category_a_bin,Category A,present tube to scanner
223,TUBE-019,SCAN_BARCODE,-92.000,170.000,category_a_bin,Category A,scan and classify sample
224,TUBE-019,LIFT_TO_SAFE_Z_AFTER_SCAN,-92.000,170.000,category_a_bin,Category A,lift after scan
225,TUBE-019,MOVE_SAFE_ABOVE_TARGET,90.000,-174.000,category_a_bin,Category A,move above selected target
226,TUBE-019,APPROACH_TARGET_SLOT,90.000,-174.000,category_a_bin,Category A,approach target slot
227,TUBE-019,PLACE_TUBE,90.000,-174.000,category_a_bin,Category A,place 75 mm tube
228,TUBE-019,RETREAT_TO_SAFE_Z,90.000,-174.000,category_a_bin,Category A,retreat after place
229,TUBE-020,MOVE_SAFE_ABOVE_INPUT,-202.000,258.000,category_b_bin,Category B,above input slot
230,TUBE-020,APPROACH_INPUT_SLOT,-202.000,258.000,category_b_bin,Category B,approach input slot
231,TUBE-020,PICK_TUBE,-202.000,258.000,category_b_bin,Category B,grip 100 mm tube
232,TUBE-020,LIFT_TO_SAFE_Z,-202.000,258.000,category_b_bin,Category B,lift picked tube
233,TUBE-020,MOVE_SAFE_ABOVE_SCAN,-92.000,170.000,category_b_bin,Category B,move above scan station
234,TUBE-020,APPROACH_SCAN_STATION,-92.000,170.000,category_b_bin,Category B,present tube to scanner
235,TUBE-020,SCAN_BARCODE,-92.000,170.000,category_b_bin,Category B,scan and classify sample
236,TUBE-020,LIFT_TO_SAFE_Z_AFTER_SCAN,-92.000,170.000,category_b_bin,Category B,lift after scan
237,TUBE-020,MOVE_SAFE_ABOVE_TARGET,250.000,-174.000,category_b_bin,Category B,move above selected target
238,TUBE-020,APPROACH_TARGET_SLOT,250.000,-174.000,category_b_bin,Category B,approach target slot
239,TUBE-020,PLACE_TUBE,250.000,-174.000,category_b_bin,Category B,place 100 mm tube
240,TUBE-020,RETREAT_TO_SAFE_Z,250.000,-174.000,category_b_bin,Category B,retreat after place
241,TUBE-021,MOVE_SAFE_ABOVE_INPUT,-174.000,258.000,category_c_bin,Category C,above input slot
242,TUBE-021,APPROACH_INPUT_SLOT,-174.000,258.000,category_c_bin,Category C,approach input slot
243,TUBE-021,PICK_TUBE,-174.000,258.000,category_c_bin,Category C,grip 75 mm tube
244,TUBE-021,LIFT_TO_SAFE_Z,-174.000,258.000,category_c_bin,Category C,lift picked tube
245,TUBE-021,MOVE_SAFE_ABOVE_SCAN,-92.000,170.000,category_c_bin,Category C,move above scan station
246,TUBE-021,APPROACH_SCAN_STATION,-92.000,170.000,category_c_bin,Category C,present tube to scanner
247,TUBE-021,SCAN_BARCODE,-92.000,170.000,category_c_bin,Category C,scan and classify sample
248,TUBE-021,LIFT_TO_SAFE_Z_AFTER_SCAN,-92.000,170.000,category_c_bin,Category C,lift after scan
249,TUBE-021,MOVE_SAFE_ABOVE_TARGET,90.000,-344.000,category_c_bin,Category C,move above selected target
250,TUBE-021,APPROACH_TARGET_SLOT,90.000,-344.000,category_c_bin,Category C,approach target slot
251,TUBE-021,PLACE_TUBE,90.000,-344.000,category_c_bin,Category C,place 75 mm tube
252,TUBE-021,RETREAT_TO_SAFE_Z,90.000,-344.000,category_c_bin,Category C,retreat after place
253,TUBE-022,MOVE_SAFE_ABOVE_INPUT,-146.000,258.000,category_d_bin,Category D,above input slot
254,TUBE-022,APPROACH_INPUT_SLOT,-146.000,258.000,category_d_bin,Category D,approach input slot
255,TUBE-022,PICK_TUBE,-146.000,258.000,category_d_bin,Category D,grip 75 mm tube
256,TUBE-022,LIFT_TO_SAFE_Z,-146.000,258.000,category_d_bin,Category D,lift picked tube
257,TUBE-022,MOVE_SAFE_ABOVE_SCAN,-92.000,170.000,category_d_bin,Category D,move above scan station
258,TUBE-022,APPROACH_SCAN_STATION,-92.000,170.000,category_d_bin,Category D,present tube to scanner
259,TUBE-022,SCAN_BARCODE,-92.000,170.000,category_d_bin,Category D,scan and classify sample
260,TUBE-022,LIFT_TO_SAFE_Z_AFTER_SCAN,-92.000,170.000,category_d_bin,Category D,lift after scan
