run_id,sample_id,input_box_id,input_slot_id,tube_height_mm,category,barcode_status,is_abnormal,target_zone,target_box_id,target_slot_id,num_waypoints,estimated_xy_distance_mm,estimated_z_distance_mm,uses_manual_review,was_queued,queue_wait_event,final_status,notes
baseline_multi_box_run,MBOX-068,input_box_3,D2,100,Category D,success,no,output_D,category_D_output_box,C4,12,780.702,750.000,no,no,,placed_output,trajectory_id=baseline_multi_box_run_0068_MBOX-068
baseline_multi_box_run,MBOX-069,input_box_3,D3,75,Category A,success,no,output_A,category_A_output_box,C5,12,573.266,850.000,no,no,,placed_output,trajectory_id=baseline_multi_box_run_0069_MBOX-069
baseline_multi_box_run,MBOX-070,input_box_3,D4,75,Category B,success,no,output_B,category_B_output_box,C5,12,752.392,850.000,no,no,,placed_output,trajectory_id=baseline_multi_box_run_0070_MBOX-070
baseline_multi_box_run,MBOX-071,input_box_3,D5,100,Category C,success,no,output_C,category_C_output_box,C5,12,527.332,750.000,no,no,,placed_output,trajectory_id=baseline_multi_box_run_0071_MBOX-071
baseline_multi_box_run,MBOX-072,input_box_3,D6,75,Category D,success,no,output_D,category_D_output_box,C5,12,706.229,850.000,no,no,,placed_output,trajectory_id=baseline_multi_box_run_0072_MBOX-072
baseline_multi_box_run,MBOX-073,input_box_4,A1,75,Category C,success,yes,manual_review,manual_review_bin,B2,12,663.759,850.000,yes,no,,placed_manual_review,trajectory_id=baseline_multi_box_run_0073_MBOX-073
baseline_multi_box_run,MBOX-074,input_box_4,A2,100,Category A,success,no,output_A,category_A_output_box,C6,12,644.840,750.000,no,no,,placed_output,trajectory_id=baseline_multi_box_run_0074_MBOX-074
baseline_multi_box_run,MBOX-075,input_box_4,A3,75,Category B,success,no,output_B,category_B_output_box,C6,12,826.103,850.000,no,no,,placed_output,trajectory_id=baseline_multi_box_run_0075_MBOX-075
baseline_multi_box_run,MBOX-076,input_box_4,A4,75,Category C,success,no,output_C,category_C_output_box,C6,12,601.885,850.000,no,no,,placed_output,trajectory_id=baseline_multi_box_run_0076_MBOX-076
baseline_multi_box_run,MBOX-077,input_box_4,A5,100,Category D,success,no,output_D,category_D_output_box,C6,12,783.537,750.000,no,no,,placed_output,trajectory_id=baseline_multi_box_run_0077_MBOX-077
baseline_multi_box_run,MBOX-078,input_box_4,A6,75,Category A,success,no,output_A,category_A_output_box,D1,12,411.682,850.000,no,no,,placed_output,trajectory_id=baseline_multi_box_run_0078_MBOX-078
baseline_multi_box_run,MBOX-079,input_box_4,B1,75,Category B,success,no,output_B,category_B_output_box,D1,12,745.891,850.000,no,no,,placed_output,trajectory_id=baseline_multi_box_run_0079_MBOX-079
baseline_multi_box_run,MBOX-080,input_box_4,B2,100,Category C,success,no,output_C,category_C_output_box,D1,12,547.116,750.000,no,no,,placed_output,trajectory_id=baseline_multi_box_run_0080_MBOX-080
baseline_multi_box_run,MBOX-081,input_box_4,B3,75,Category D,success,no,output_D,category_D_output_box,D1,12,716.151,850.000,no,no,,placed_output,trajectory_id=baseline_multi_box_run_0081_MBOX-081
baseline_multi_box_run,MBOX-082,input_box_4,B4,75,Category A,success,no,output_A,category_A_output_box,D2,12,498.709,850.000,no,no,,placed_output,trajectory_id=baseline_multi_box_run_0082_MBOX-082
baseline_multi_box_run,MBOX-083,input_box_4,B5,100,Category B,success,no,output_B,category_B_output_box,D2,12,684.350,750.000,no,no,,placed_output,trajectory_id=baseline_multi_box_run_0083_MBOX-083
baseline_multi_box_run,MBOX-084,input_box_4,B6,75,Category C,success,no,output_C,category_C_output_box,D2,12,487.372,850.000,no,no,,placed_output,trajectory_id=baseline_multi_box_run_0084_MBOX-084
