trajectory_id,sample_id,step_order,state,zone,slot_id,x_mm,y_mm,z_mm,gripper_action,scanner_action,expected_result,notes
traj_012,TUBE-012,5,MOVE_SAFE_ABOVE_SCAN,scan_station,SCAN1,-92.000,170.000,180.000,hold,idle,,move above scan station
traj_012,TUBE-012,6,APPROACH_SCAN_STATION,scan_station,SCAN1,-92.000,170.000,75.000,hold,idle,,present tube to scanner
traj_012,TUBE-012,7,SCAN_BARCODE,scan_station,SCAN1,-92.000,170.000,75.000,hold,trigger_scan,success / Category C,scan and classify sample
traj_012,TUBE-012,8,LIFT_TO_SAFE_Z_AFTER_SCAN,scan_station,SCAN1,-92.000,170.000,180.000,hold,idle,,lift after scan
traj_012,TUBE-012,9,MOVE_SAFE_ABOVE_TARGET,category_c_bin,A3,118.000,-316.000,180.000,hold,idle,,move above selected target
traj_012,TUBE-012,10,APPROACH_TARGET_SLOT,category_c_bin,A3,118.000,-316.000,120.000,hold,idle,,approach target slot
traj_012,TUBE-012,11,PLACE_TUBE,category_c_bin,A3,118.000,-316.000,45.000,open,idle,,place 75 mm tube
traj_012,TUBE-012,12,RETREAT_TO_SAFE_Z,category_c_bin,A3,118.000,-316.000,180.000,open,idle,,retreat after place
traj_013,TUBE-013,1,MOVE_SAFE_ABOVE_INPUT,input,C1,-230.000,286.000,180.000,open,idle,,above input slot
traj_013,TUBE-013,2,APPROACH_INPUT_SLOT,input,C1,-230.000,286.000,120.000,open,idle,,approach input slot
traj_013,TUBE-013,3,PICK_TUBE,input,C1,-230.000,286.000,55.000,close,idle,,grip 75 mm tube
traj_013,TUBE-013,4,LIFT_TO_SAFE_Z,input,C1,-230.000,286.000,180.000,hold,idle,,lift picked tube
traj_013,TUBE-013,5,MOVE_SAFE_ABOVE_SCAN,scan_station,SCAN1,-92.000,170.000,180.000,hold,idle,,move above scan station
traj_013,TUBE-013,6,APPROACH_SCAN_STATION,scan_station,SCAN1,-92.000,170.000,75.000,hold,idle,,present tube to scanner
traj_013,TUBE-013,7,SCAN_BARCODE,scan_station,SCAN1,-92.000,170.000,75.000,hold,trigger_scan,success / Category D,scan and classify sample
traj_013,TUBE-013,8,LIFT_TO_SAFE_Z_AFTER_SCAN,scan_station,SCAN1,-92.000,170.000,180.000,hold,idle,,lift after scan
