scenario_id,task_id,tube_id,segment_index,motion_type,axis_mode,segment_distance_mm,delta_z_mm,time_model,segment_time_s,time_category,notes
baseline,TASK-7B1-008,TUBE-7B1-008,12,z_lift,z_axis,55.0,55.0,abs(delta_z) / z_nominal_speed_mm_s + z_accel_allowance_s,0.608,z_motion,Concept-level timing assumption.
baseline,TASK-7B1-009,TUBE-7B1-009,1,xy_move_at_safe_z,xy_axes,201.556,0.0,distance / xy_nominal_speed_mm_s + xy_accel_allowance_s,0.776,xy_motion,Concept-level timing assumption.
baseline,TASK-7B1-009,TUBE-7B1-009,2,z_descend,z_axis,45.0,45.0,abs(delta_z) / z_nominal_speed_mm_s + z_accel_allowance_s,0.525,z_motion,Concept-level timing assumption.
baseline,TASK-7B1-009,TUBE-7B1-009,3,gripper_action,gripper,0.0,0.0,grip_close_time_s,0.6,gripper_action,Concept-level timing assumption.
baseline,TASK-7B1-009,TUBE-7B1-009,4,z_lift,z_axis,45.0,45.0,abs(delta_z) / z_nominal_speed_mm_s + z_accel_allowance_s,0.525,z_motion,Concept-level timing assumption.
baseline,TASK-7B1-009,TUBE-7B1-009,5,xy_move_at_safe_z,xy_axes,216.391,0.0,distance / xy_nominal_speed_mm_s + xy_accel_allowance_s,0.818,xy_motion,Concept-level timing assumption.
baseline,TASK-7B1-009,TUBE-7B1-009,6,z_descend,z_axis,35.0,35.0,abs(delta_z) / z_nominal_speed_mm_s + z_accel_allowance_s,0.442,z_motion,Concept-level timing assumption.
baseline,TASK-7B1-009,TUBE-7B1-009,7,scan_wait,dwell,0.0,0.0,scan_wait_time_s,1.0,scan_wait,Concept-level timing assumption.
baseline,TASK-7B1-009,TUBE-7B1-009,8,z_lift,z_axis,35.0,35.0,abs(delta_z) / z_nominal_speed_mm_s + z_accel_allowance_s,0.442,z_motion,Concept-level timing assumption.
baseline,TASK-7B1-009,TUBE-7B1-009,9,xy_move_at_safe_z,xy_axes,355.141,0.0,distance / xy_nominal_speed_mm_s + xy_accel_allowance_s,1.215,xy_motion,Concept-level timing assumption.
baseline,TASK-7B1-009,TUBE-7B1-009,10,z_descend,z_axis,55.0,55.0,abs(delta_z) / z_nominal_speed_mm_s + z_accel_allowance_s,0.608,z_motion,Concept-level timing assumption.
baseline,TASK-7B1-009,TUBE-7B1-009,11,gripper_action,gripper,0.0,0.0,grip_open_time_s,0.5,gripper_action,Concept-level timing assumption.
baseline,TASK-7B1-009,TUBE-7B1-009,12,z_lift,z_axis,55.0,55.0,abs(delta_z) / z_nominal_speed_mm_s + z_accel_allowance_s,0.608,z_motion,Concept-level timing assumption.
baseline,TASK-7B1-010,TUBE-7B1-010,1,xy_move_at_safe_z,xy_axes,268.328,0.0,distance / xy_nominal_speed_mm_s + xy_accel_allowance_s,0.967,xy_motion,Concept-level timing assumption.
baseline,TASK-7B1-010,TUBE-7B1-010,2,z_descend,z_axis,45.0,45.0,abs(delta_z) / z_nominal_speed_mm_s + z_accel_allowance_s,0.525,z_motion,Concept-level timing assumption.
baseline,TASK-7B1-010,TUBE-7B1-010,3,gripper_action,gripper,0.0,0.0,grip_close_time_s,0.6,gripper_action,Concept-level timing assumption.
baseline,TASK-7B1-010,TUBE-7B1-010,4,z_lift,z_axis,45.0,45.0,abs(delta_z) / z_nominal_speed_mm_s + z_accel_allowance_s,0.525,z_motion,Concept-level timing assumption.
baseline,TASK-7B1-010,TUBE-7B1-010,5,xy_move_at_safe_z,xy_axes,277.849,0.0,distance / xy_nominal_speed_mm_s + xy_accel_allowance_s,0.994,xy_motion,Concept-level timing assumption.
baseline,TASK-7B1-010,TUBE-7B1-010,6,z_descend,z_axis,35.0,35.0,abs(delta_z) / z_nominal_speed_mm_s + z_accel_allowance_s,0.442,z_motion,Concept-level timing assumption.
baseline,TASK-7B1-010,TUBE-7B1-010,7,scan_wait,dwell,0.0,0.0,scan_wait_time_s,1.0,scan_wait,Concept-level timing assumption.
baseline,TASK-7B1-010,TUBE-7B1-010,8,z_lift,z_axis,35.0,35.0,abs(delta_z) / z_nominal_speed_mm_s + z_accel_allowance_s,0.442,z_motion,Concept-level timing assumption.
baseline,TASK-7B1-010,TUBE-7B1-010,9,xy_move_at_safe_z,xy_axes,298.329,0.0,distance / xy_nominal_speed_mm_s + xy_accel_allowance_s,1.052,xy_motion,Concept-level timing assumption.
baseline,TASK-7B1-010,TUBE-7B1-010,10,z_descend,z_axis,55.0,55.0,abs(delta_z) / z_nominal_speed_mm_s + z_accel_allowance_s,0.608,z_motion,Concept-level timing assumption.
baseline,TASK-7B1-010,TUBE-7B1-010,11,gripper_action,gripper,0.0,0.0,grip_open_time_s,0.5,gripper_action,Concept-level timing assumption.
baseline,TASK-7B1-010,TUBE-7B1-010,12,z_lift,z_axis,55.0,55.0,abs(delta_z) / z_nominal_speed_mm_s + z_accel_allowance_s,0.608,z_motion,Concept-level timing assumption.
baseline,TASK-7B1-011,TUBE-7B1-011,1,xy_move_at_safe_z,xy_axes,246.221,0.0,distance / xy_nominal_speed_mm_s + xy_accel_allowance_s,0.903,xy_motion,Concept-level timing assumption.
baseline,TASK-7B1-011,TUBE-7B1-011,2,z_descend,z_axis,45.0,45.0,abs(delta_z) / z_nominal_speed_mm_s + z_accel_allowance_s,0.525,z_motion,Concept-level timing assumption.
baseline,TASK-7B1-011,TUBE-7B1-011,3,gripper_action,gripper,0.0,0.0,grip_close_time_s,0.6,gripper_action,Concept-level timing assumption.
baseline,TASK-7B1-011,TUBE-7B1-011,4,z_lift,z_axis,45.0,45.0,abs(delta_z) / z_nominal_speed_mm_s + z_accel_allowance_s,0.525,z_motion,Concept-level timing assumption.
baseline,TASK-7B1-011,TUBE-7B1-011,5,xy_move_at_safe_z,xy_axes,256.564,0.0,distance / xy_nominal_speed_mm_s + xy_accel_allowance_s,0.933,xy_motion,Concept-level timing assumption.
baseline,TASK-7B1-011,TUBE-7B1-011,6,z_descend,z_axis,35.0,35.0,abs(delta_z) / z_nominal_speed_mm_s + z_accel_allowance_s,0.442,z_motion,Concept-level timing assumption.
