scenario_id,task_id,tube_id,time_s,vx_mm_s,vy_mm_s,vz_mm_s,speed_xy_mm_s,motion_type,notes
forced_category_A_full,TASK-7B1-038,TUBE-7B1-038,300.913,0.0,0.0,0.0,0.0,gripper_action,Velocity from linear interpolation over Stage 7B-4 segment_time_s.
forced_category_A_full,TASK-7B1-038,TUBE-7B1-038,300.933,0.0,0.0,0.0,0.0,gripper_action,Velocity from linear interpolation over Stage 7B-4 segment_time_s.
forced_category_A_full,TASK-7B1-038,TUBE-7B1-038,300.953,0.0,0.0,0.0,0.0,gripper_action,Velocity from linear interpolation over Stage 7B-4 segment_time_s.
forced_category_A_full,TASK-7B1-038,TUBE-7B1-038,300.973,0.0,0.0,0.0,0.0,gripper_action,Velocity from linear interpolation over Stage 7B-4 segment_time_s.
forced_category_A_full,TASK-7B1-038,TUBE-7B1-038,300.993,0.0,0.0,0.0,0.0,gripper_action,Velocity from linear interpolation over Stage 7B-4 segment_time_s.
forced_category_A_full,TASK-7B1-038,TUBE-7B1-038,301.013,0.0,0.0,0.0,0.0,gripper_action,Velocity from linear interpolation over Stage 7B-4 segment_time_s.
forced_category_A_full,TASK-7B1-038,TUBE-7B1-038,301.033,0.0,0.0,0.0,0.0,gripper_action,Velocity from linear interpolation over Stage 7B-4 segment_time_s.
forced_category_A_full,TASK-7B1-038,TUBE-7B1-038,301.053,0.0,0.0,0.0,0.0,gripper_action,Velocity from linear interpolation over Stage 7B-4 segment_time_s.
forced_category_A_full,TASK-7B1-038,TUBE-7B1-038,301.073,0.0,0.0,0.0,0.0,gripper_action,Velocity from linear interpolation over Stage 7B-4 segment_time_s.
forced_category_A_full,TASK-7B1-038,TUBE-7B1-038,301.093,0.0,0.0,0.0,0.0,gripper_action,Velocity from linear interpolation over Stage 7B-4 segment_time_s.
forced_category_A_full,TASK-7B1-038,TUBE-7B1-038,301.113,0.0,0.0,0.0,0.0,gripper_action,Velocity from linear interpolation over Stage 7B-4 segment_time_s.
forced_category_A_full,TASK-7B1-038,TUBE-7B1-038,301.133,0.0,0.0,0.0,0.0,gripper_action,Velocity from linear interpolation over Stage 7B-4 segment_time_s.
forced_category_A_full,TASK-7B1-038,TUBE-7B1-038,301.153,0.0,0.0,0.0,0.0,gripper_action,Velocity from linear interpolation over Stage 7B-4 segment_time_s.
forced_category_A_full,TASK-7B1-038,TUBE-7B1-038,301.173,0.0,0.0,0.0,0.0,gripper_action,Velocity from linear interpolation over Stage 7B-4 segment_time_s.
forced_category_A_full,TASK-7B1-038,TUBE-7B1-038,301.193,0.0,0.0,0.0,0.0,gripper_action,Velocity from linear interpolation over Stage 7B-4 segment_time_s.
forced_category_A_full,TASK-7B1-038,TUBE-7B1-038,301.213,0.0,0.0,0.0,0.0,gripper_action,Velocity from linear interpolation over Stage 7B-4 segment_time_s.
forced_category_A_full,TASK-7B1-038,TUBE-7B1-038,301.213,0.0,0.0,90.461,0.0,z_lift,Velocity from linear interpolation over Stage 7B-4 segment_time_s.
forced_category_A_full,TASK-7B1-038,TUBE-7B1-038,301.233,0.0,0.0,90.461,0.0,z_lift,Velocity from linear interpolation over Stage 7B-4 segment_time_s.
forced_category_A_full,TASK-7B1-038,TUBE-7B1-038,301.253,0.0,0.0,90.461,0.0,z_lift,Velocity from linear interpolation over Stage 7B-4 segment_time_s.
forced_category_A_full,TASK-7B1-038,TUBE-7B1-038,301.273,0.0,0.0,90.461,0.0,z_lift,Velocity from linear interpolation over Stage 7B-4 segment_time_s.
forced_category_A_full,TASK-7B1-038,TUBE-7B1-038,301.293,0.0,0.0,90.461,0.0,z_lift,Velocity from linear interpolation over Stage 7B-4 segment_time_s.
forced_category_A_full,TASK-7B1-038,TUBE-7B1-038,301.313,0.0,0.0,90.461,0.0,z_lift,Velocity from linear interpolation over Stage 7B-4 segment_time_s.
forced_category_A_full,TASK-7B1-038,TUBE-7B1-038,301.333,0.0,0.0,90.461,0.0,z_lift,Velocity from linear interpolation over Stage 7B-4 segment_time_s.
forced_category_A_full,TASK-7B1-038,TUBE-7B1-038,301.353,0.0,0.0,90.461,0.0,z_lift,Velocity from linear interpolation over Stage 7B-4 segment_time_s.
forced_category_A_full,TASK-7B1-038,TUBE-7B1-038,301.373,0.0,0.0,90.461,0.0,z_lift,Velocity from linear interpolation over Stage 7B-4 segment_time_s.
forced_category_A_full,TASK-7B1-038,TUBE-7B1-038,301.393,0.0,0.0,90.461,0.0,z_lift,Velocity from linear interpolation over Stage 7B-4 segment_time_s.
forced_category_A_full,TASK-7B1-038,TUBE-7B1-038,301.413,0.0,0.0,90.461,0.0,z_lift,Velocity from linear interpolation over Stage 7B-4 segment_time_s.
forced_category_A_full,TASK-7B1-038,TUBE-7B1-038,301.433,0.0,0.0,90.461,0.0,z_lift,Velocity from linear interpolation over Stage 7B-4 segment_time_s.
forced_category_A_full,TASK-7B1-038,TUBE-7B1-038,301.453,0.0,0.0,90.461,0.0,z_lift,Velocity from linear interpolation over Stage 7B-4 segment_time_s.
forced_category_A_full,TASK-7B1-038,TUBE-7B1-038,301.473,0.0,0.0,90.461,0.0,z_lift,Velocity from linear interpolation over Stage 7B-4 segment_time_s.
forced_category_A_full,TASK-7B1-038,TUBE-7B1-038,301.493,0.0,0.0,90.461,0.0,z_lift,Velocity from linear interpolation over Stage 7B-4 segment_time_s.
forced_category_A_full,TASK-7B1-038,TUBE-7B1-038,301.513,0.0,0.0,90.461,0.0,z_lift,Velocity from linear interpolation over Stage 7B-4 segment_time_s.
forced_category_A_full,TASK-7B1-038,TUBE-7B1-038,301.533,0.0,0.0,90.461,0.0,z_lift,Velocity from linear interpolation over Stage 7B-4 segment_time_s.
forced_category_A_full,TASK-7B1-038,TUBE-7B1-038,301.553,0.0,0.0,90.461,0.0,z_lift,Velocity from linear interpolation over Stage 7B-4 segment_time_s.
forced_category_A_full,TASK-7B1-038,TUBE-7B1-038,301.573,0.0,0.0,90.461,0.0,z_lift,Velocity from linear interpolation over Stage 7B-4 segment_time_s.
forced_category_A_full,TASK-7B1-038,TUBE-7B1-038,301.593,0.0,0.0,90.461,0.0,z_lift,Velocity from linear interpolation over Stage 7B-4 segment_time_s.
forced_category_A_full,TASK-7B1-038,TUBE-7B1-038,301.613,0.0,0.0,90.461,0.0,z_lift,Velocity from linear interpolation over Stage 7B-4 segment_time_s.
forced_category_A_full,TASK-7B1-038,TUBE-7B1-038,301.633,0.0,0.0,90.461,0.0,z_lift,Velocity from linear interpolation over Stage 7B-4 segment_time_s.
forced_category_A_full,TASK-7B1-038,TUBE-7B1-038,301.653,0.0,0.0,90.461,0.0,z_lift,Velocity from linear interpolation over Stage 7B-4 segment_time_s.
forced_category_A_full,TASK-7B1-038,TUBE-7B1-038,301.673,0.0,0.0,90.461,0.0,z_lift,Velocity from linear interpolation over Stage 7B-4 segment_time_s.
forced_category_A_full,TASK-7B1-038,TUBE-7B1-038,301.693,0.0,0.0,90.461,0.0,z_lift,Velocity from linear interpolation over Stage 7B-4 segment_time_s.
forced_category_A_full,TASK-7B1-038,TUBE-7B1-038,301.713,0.0,0.0,90.461,0.0,z_lift,Velocity from linear interpolation over Stage 7B-4 segment_time_s.
forced_category_A_full,TASK-7B1-038,TUBE-7B1-038,301.733,0.0,0.0,90.461,0.0,z_lift,Velocity from linear interpolation over Stage 7B-4 segment_time_s.
forced_category_A_full,TASK-7B1-038,TUBE-7B1-038,301.753,0.0,0.0,90.461,0.0,z_lift,Velocity from linear interpolation over Stage 7B-4 segment_time_s.
forced_category_A_full,TASK-7B1-038,TUBE-7B1-038,301.773,0.0,0.0,90.461,0.0,z_lift,Velocity from linear interpolation over Stage 7B-4 segment_time_s.
forced_category_A_full,TASK-7B1-038,TUBE-7B1-038,301.793,0.0,0.0,90.461,0.0,z_lift,Velocity from linear interpolation over Stage 7B-4 segment_time_s.
forced_category_A_full,TASK-7B1-038,TUBE-7B1-038,301.813,0.0,0.0,90.461,0.0,z_lift,Velocity from linear interpolation over Stage 7B-4 segment_time_s.
forced_category_A_full,TASK-7B1-038,TUBE-7B1-038,301.821,0.0,0.0,90.461,0.0,z_lift,Velocity from linear interpolation over Stage 7B-4 segment_time_s.
forced_category_A_full,TASK-7B1-039,TUBE-7B1-039,301.821,-216.981,-18.868,0.0,217.8,xy_move_at_safe_z,Velocity from linear interpolation over Stage 7B-4 segment_time_s.
forced_category_A_full,TASK-7B1-039,TUBE-7B1-039,301.841,-216.981,-18.868,0.0,217.8,xy_move_at_safe_z,Velocity from linear interpolation over Stage 7B-4 segment_time_s.
forced_category_A_full,TASK-7B1-039,TUBE-7B1-039,301.861,-216.981,-18.868,0.0,217.8,xy_move_at_safe_z,Velocity from linear interpolation over Stage 7B-4 segment_time_s.
forced_category_A_full,TASK-7B1-039,TUBE-7B1-039,301.881,-216.981,-18.868,0.0,217.8,xy_move_at_safe_z,Velocity from linear interpolation over Stage 7B-4 segment_time_s.
forced_category_A_full,TASK-7B1-039,TUBE-7B1-039,301.901,-216.981,-18.868,0.0,217.8,xy_move_at_safe_z,Velocity from linear interpolation over Stage 7B-4 segment_time_s.
forced_category_A_full,TASK-7B1-039,TUBE-7B1-039,301.921,-216.981,-18.868,0.0,217.8,xy_move_at_safe_z,Velocity from linear interpolation over Stage 7B-4 segment_time_s.
forced_category_A_full,TASK-7B1-039,TUBE-7B1-039,301.941,-216.981,-18.868,0.0,217.8,xy_move_at_safe_z,Velocity from linear interpolation over Stage 7B-4 segment_time_s.
forced_category_A_full,TASK-7B1-039,TUBE-7B1-039,301.961,-216.981,-18.868,0.0,217.8,xy_move_at_safe_z,Velocity from linear interpolation over Stage 7B-4 segment_time_s.
forced_category_A_full,TASK-7B1-039,TUBE-7B1-039,301.981,-216.981,-18.868,0.0,217.8,xy_move_at_safe_z,Velocity from linear interpolation over Stage 7B-4 segment_time_s.
forced_category_A_full,TASK-7B1-039,TUBE-7B1-039,302.001,-216.981,-18.868,0.0,217.8,xy_move_at_safe_z,Velocity from linear interpolation over Stage 7B-4 segment_time_s.
forced_category_A_full,TASK-7B1-039,TUBE-7B1-039,302.021,-216.981,-18.868,0.0,217.8,xy_move_at_safe_z,Velocity from linear interpolation over Stage 7B-4 segment_time_s.
forced_category_A_full,TASK-7B1-039,TUBE-7B1-039,302.041,-216.981,-18.868,0.0,217.8,xy_move_at_safe_z,Velocity from linear interpolation over Stage 7B-4 segment_time_s.
forced_category_A_full,TASK-7B1-039,TUBE-7B1-039,302.061,-216.981,-18.868,0.0,217.8,xy_move_at_safe_z,Velocity from linear interpolation over Stage 7B-4 segment_time_s.
