scenario_id,task_id,tube_id,parameter_set_id,x_rmse_mm,y_rmse_mm,z_rmse_mm,x_max_abs_error_mm,y_max_abs_error_mm,z_max_abs_error_mm,task_tracking_status,notes
baseline,TASK-7B1-034,TUBE-7B1-034,balanced_pid,0.083,0.078,0.051,1.114,0.926,0.402,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
baseline,TASK-7B1-034,TUBE-7B1-034,conservative_pid,3.402,3.04,2.722,10.814,9.02,4.647,FAIL,Per-task tracking status based on X/Y/Z concept tolerances.
baseline,TASK-7B1-035,TUBE-7B1-035,aggressive_pid,0.044,0.002,0.027,0.65,0.027,0.215,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
baseline,TASK-7B1-035,TUBE-7B1-035,balanced_pid,0.119,0.011,0.047,1.152,0.144,0.402,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
baseline,TASK-7B1-035,TUBE-7B1-035,conservative_pid,6.541,0.489,2.525,12.053,1.402,4.647,FAIL,Per-task tracking status based on X/Y/Z concept tolerances.
baseline,TASK-7B1-036,TUBE-7B1-036,aggressive_pid,0.014,0.01,0.027,0.205,0.147,0.215,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
baseline,TASK-7B1-036,TUBE-7B1-036,balanced_pid,0.085,0.051,0.048,1.026,0.736,0.402,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
baseline,TASK-7B1-036,TUBE-7B1-036,conservative_pid,5.602,2.325,2.58,10.882,6.811,4.647,FAIL,Per-task tracking status based on X/Y/Z concept tolerances.
baseline,TASK-7B1-037,TUBE-7B1-037,aggressive_pid,0.062,0.02,0.027,0.659,0.286,0.215,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
baseline,TASK-7B1-037,TUBE-7B1-037,balanced_pid,0.111,0.028,0.047,1.126,0.371,0.402,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
baseline,TASK-7B1-037,TUBE-7B1-037,conservative_pid,6.119,1.981,2.54,11.276,4.896,4.647,FAIL,Per-task tracking status based on X/Y/Z concept tolerances.
baseline,TASK-7B1-038,TUBE-7B1-038,aggressive_pid,0.021,0.003,0.028,0.21,0.044,0.215,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
baseline,TASK-7B1-038,TUBE-7B1-038,balanced_pid,0.076,0.016,0.05,1.034,0.221,0.402,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
baseline,TASK-7B1-038,TUBE-7B1-038,conservative_pid,5.071,0.624,2.672,10.795,2.052,4.647,FAIL,Per-task tracking status based on X/Y/Z concept tolerances.
baseline,TASK-7B1-039,TUBE-7B1-039,aggressive_pid,0.044,0.002,0.028,0.62,0.025,0.215,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
baseline,TASK-7B1-039,TUBE-7B1-039,balanced_pid,0.113,0.007,0.049,1.263,0.084,0.402,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
baseline,TASK-7B1-039,TUBE-7B1-039,conservative_pid,5.65,0.624,2.625,12.258,2.222,4.647,FAIL,Per-task tracking status based on X/Y/Z concept tolerances.
baseline,TASK-7B1-040,TUBE-7B1-040,aggressive_pid,0.065,0.017,0.027,0.65,0.247,0.215,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
baseline,TASK-7B1-040,TUBE-7B1-040,balanced_pid,0.131,0.048,0.047,1.157,0.687,0.402,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
baseline,TASK-7B1-040,TUBE-7B1-040,conservative_pid,5.973,2.196,2.546,11.234,6.427,4.647,FAIL,Per-task tracking status based on X/Y/Z concept tolerances.
baseline,TASK-7B1-041,TUBE-7B1-041,aggressive_pid,0.06,0.008,0.027,0.638,0.102,0.215,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
baseline,TASK-7B1-041,TUBE-7B1-041,balanced_pid,0.115,0.035,0.047,1.258,0.512,0.402,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
baseline,TASK-7B1-041,TUBE-7B1-041,conservative_pid,6.237,1.883,2.531,11.642,4.743,4.647,FAIL,Per-task tracking status based on X/Y/Z concept tolerances.
baseline,TASK-7B1-042,TUBE-7B1-042,aggressive_pid,0.0,0.0,0.028,0.0,0.0,0.215,PASS,Per-task tracking status based on X/Y/Z concept tolerances.
