scenario_id,task_id,tube_id,trial_id,x_rmse_mm,y_rmse_mm,z_rmse_mm,x_max_abs_error_mm,y_max_abs_error_mm,z_max_abs_error_mm,worst_axis,task_status,notes
baseline,TASK-7B1-031,TUBE-7B1-031,1,0.215,0.197,0.335,1.282,2.329,0.64,y,PASS,Task-level robustness summary for balanced_pid.
baseline,TASK-7B1-031,TUBE-7B1-031,2,0.219,0.193,0.334,1.354,2.313,0.633,y,PASS,Task-level robustness summary for balanced_pid.
baseline,TASK-7B1-031,TUBE-7B1-031,3,0.211,0.2,0.335,1.318,2.302,0.593,y,PASS,Task-level robustness summary for balanced_pid.
baseline,TASK-7B1-031,TUBE-7B1-031,4,0.215,0.189,0.338,1.363,2.18,0.611,y,PASS,Task-level robustness summary for balanced_pid.
baseline,TASK-7B1-031,TUBE-7B1-031,5,0.215,0.201,0.335,1.31,2.364,0.605,y,PASS,Task-level robustness summary for balanced_pid.
baseline,TASK-7B1-032,TUBE-7B1-032,1,0.168,0.196,0.345,1.219,1.951,0.63,y,PASS,Task-level robustness summary for balanced_pid.
baseline,TASK-7B1-032,TUBE-7B1-032,2,0.165,0.198,0.34,1.208,1.935,0.637,y,PASS,Task-level robustness summary for balanced_pid.
baseline,TASK-7B1-032,TUBE-7B1-032,3,0.161,0.2,0.34,1.182,2.012,0.634,y,PASS,Task-level robustness summary for balanced_pid.
baseline,TASK-7B1-032,TUBE-7B1-032,4,0.163,0.196,0.341,1.203,1.976,0.61,y,PASS,Task-level robustness summary for balanced_pid.
baseline,TASK-7B1-032,TUBE-7B1-032,5,0.16,0.195,0.341,1.212,1.88,0.607,y,PASS,Task-level robustness summary for balanced_pid.
baseline,TASK-7B1-033,TUBE-7B1-033,1,0.183,0.161,0.335,0.683,0.683,0.63,x,PASS,Task-level robustness summary for balanced_pid.
baseline,TASK-7B1-033,TUBE-7B1-033,2,0.178,0.164,0.336,0.746,0.713,0.612,x,PASS,Task-level robustness summary for balanced_pid.
baseline,TASK-7B1-033,TUBE-7B1-033,3,0.181,0.164,0.334,0.674,0.702,0.613,y,PASS,Task-level robustness summary for balanced_pid.
baseline,TASK-7B1-033,TUBE-7B1-033,4,0.181,0.161,0.334,0.692,0.682,0.61,x,PASS,Task-level robustness summary for balanced_pid.
baseline,TASK-7B1-033,TUBE-7B1-033,5,0.183,0.162,0.334,0.659,0.703,0.612,y,PASS,Task-level robustness summary for balanced_pid.
baseline,TASK-7B1-034,TUBE-7B1-034,1,0.156,0.145,0.349,0.795,0.638,0.638,x,PASS,Task-level robustness summary for balanced_pid.
baseline,TASK-7B1-034,TUBE-7B1-034,2,0.156,0.15,0.349,0.94,0.684,0.615,x,PASS,Task-level robustness summary for balanced_pid.
baseline,TASK-7B1-034,TUBE-7B1-034,3,0.15,0.145,0.347,0.829,0.707,0.609,x,PASS,Task-level robustness summary for balanced_pid.
