scenario_id,task_id,tube_id,trial_id,x_rmse_mm,y_rmse_mm,z_rmse_mm,x_max_abs_error_mm,y_max_abs_error_mm,z_max_abs_error_mm,worst_axis,task_status,notes
manual_review_limited_capacity,TASK-7B1-068,TUBE-7B1-068,4,0.165,0.101,0.349,0.79,0.502,0.632,x,PASS,Task-level robustness summary for balanced_pid.
manual_review_limited_capacity,TASK-7B1-068,TUBE-7B1-068,5,0.166,0.108,0.351,0.717,0.579,0.609,x,PASS,Task-level robustness summary for balanced_pid.
manual_review_limited_capacity,TASK-7B1-069,TUBE-7B1-069,1,0.227,0.098,0.34,1.494,0.559,0.611,x,PASS,Task-level robustness summary for balanced_pid.
manual_review_limited_capacity,TASK-7B1-069,TUBE-7B1-069,2,0.232,0.097,0.339,1.558,0.482,0.615,x,PASS,Task-level robustness summary for balanced_pid.
manual_review_limited_capacity,TASK-7B1-069,TUBE-7B1-069,3,0.222,0.103,0.341,1.567,0.505,0.625,x,PASS,Task-level robustness summary for balanced_pid.
manual_review_limited_capacity,TASK-7B1-069,TUBE-7B1-069,4,0.228,0.098,0.34,1.557,0.518,0.617,x,PASS,Task-level robustness summary for balanced_pid.
manual_review_limited_capacity,TASK-7B1-069,TUBE-7B1-069,5,0.225,0.099,0.338,1.515,0.489,0.609,x,PASS,Task-level robustness summary for balanced_pid.
pick_failure_test,TASK-7B1-001,TUBE-7B1-001,1,0.215,0.182,0.319,0.769,0.684,0.621,x,PASS,Task-level robustness summary for balanced_pid.
pick_failure_test,TASK-7B1-001,TUBE-7B1-001,2,0.218,0.185,0.319,0.771,0.728,0.61,x,PASS,Task-level robustness summary for balanced_pid.
pick_failure_test,TASK-7B1-001,TUBE-7B1-001,3,0.218,0.179,0.323,0.787,0.664,0.613,x,PASS,Task-level robustness summary for balanced_pid.
pick_failure_test,TASK-7B1-001,TUBE-7B1-001,4,0.214,0.183,0.319,0.757,0.669,0.603,x,PASS,Task-level robustness summary for balanced_pid.
pick_failure_test,TASK-7B1-001,TUBE-7B1-001,5,0.218,0.183,0.321,0.852,0.717,0.62,x,PASS,Task-level robustness summary for balanced_pid.
pick_failure_test,TASK-7B1-002,TUBE-7B1-002,1,0.219,0.164,0.338,1.114,0.881,0.66,x,PASS,Task-level robustness summary for balanced_pid.
pick_failure_test,TASK-7B1-002,TUBE-7B1-002,2,0.226,0.165,0.335,1.236,0.985,0.691,x,PASS,Task-level robustness summary for balanced_pid.
pick_failure_test,TASK-7B1-002,TUBE-7B1-002,3,0.221,0.166,0.336,1.065,0.903,0.664,x,PASS,Task-level robustness summary for balanced_pid.
pick_failure_test,TASK-7B1-002,TUBE-7B1-002,4,0.222,0.166,0.335,0.981,0.939,0.68,x,PASS,Task-level robustness summary for balanced_pid.
pick_failure_test,TASK-7B1-002,TUBE-7B1-002,5,0.22,0.166,0.334,1.138,0.867,0.695,x,PASS,Task-level robustness summary for balanced_pid.
pick_failure_test,TASK-7B1-003,TUBE-7B1-003,1,0.21,0.158,0.331,0.717,0.57,0.619,x,PASS,Task-level robustness summary for balanced_pid.
pick_failure_test,TASK-7B1-003,TUBE-7B1-003,2,0.214,0.164,0.326,0.774,0.647,0.611,x,PASS,Task-level robustness summary for balanced_pid.
pick_failure_test,TASK-7B1-003,TUBE-7B1-003,3,0.21,0.161,0.331,0.683,0.662,0.624,x,PASS,Task-level robustness summary for balanced_pid.
pick_failure_test,TASK-7B1-003,TUBE-7B1-003,4,0.21,0.163,0.328,0.694,0.667,0.613,x,PASS,Task-level robustness summary for balanced_pid.
pick_failure_test,TASK-7B1-003,TUBE-7B1-003,5,0.212,0.165,0.329,0.78,0.735,0.612,x,PASS,Task-level robustness summary for balanced_pid.
pick_failure_test,TASK-7B1-004,TUBE-7B1-004,1,0.226,0.202,0.315,1.157,0.728,0.609,x,PASS,Task-level robustness summary for balanced_pid.
pick_failure_test,TASK-7B1-004,TUBE-7B1-004,2,0.226,0.199,0.318,1.198,0.737,0.638,x,PASS,Task-level robustness summary for balanced_pid.
pick_failure_test,TASK-7B1-004,TUBE-7B1-004,3,0.224,0.197,0.319,1.117,0.688,0.626,x,PASS,Task-level robustness summary for balanced_pid.
pick_failure_test,TASK-7B1-004,TUBE-7B1-004,4,0.228,0.197,0.317,1.141,0.713,0.621,x,PASS,Task-level robustness summary for balanced_pid.
pick_failure_test,TASK-7B1-004,TUBE-7B1-004,5,0.23,0.194,0.316,1.13,0.702,0.616,x,PASS,Task-level robustness summary for balanced_pid.
pick_failure_test,TASK-7B1-005,TUBE-7B1-005,1,0.218,0.171,0.326,1.508,0.93,0.65,x,PASS,Task-level robustness summary for balanced_pid.
pick_failure_test,TASK-7B1-005,TUBE-7B1-005,2,0.224,0.177,0.325,1.543,0.807,0.626,x,PASS,Task-level robustness summary for balanced_pid.
pick_failure_test,TASK-7B1-005,TUBE-7B1-005,3,0.22,0.175,0.328,1.444,0.741,0.627,x,PASS,Task-level robustness summary for balanced_pid.
pick_failure_test,TASK-7B1-005,TUBE-7B1-005,4,0.221,0.174,0.329,1.534,0.84,0.618,x,PASS,Task-level robustness summary for balanced_pid.
pick_failure_test,TASK-7B1-005,TUBE-7B1-005,5,0.222,0.172,0.33,1.428,0.763,0.622,x,PASS,Task-level robustness summary for balanced_pid.
pick_failure_test,TASK-7B1-006,TUBE-7B1-006,1,0.258,0.181,0.322,2.607,1.488,0.61,x,PASS,Task-level robustness summary for balanced_pid.
pick_failure_test,TASK-7B1-006,TUBE-7B1-006,2,0.258,0.184,0.322,2.512,1.587,0.631,x,PASS,Task-level robustness summary for balanced_pid.
pick_failure_test,TASK-7B1-006,TUBE-7B1-006,3,0.263,0.182,0.322,2.604,1.463,0.603,x,PASS,Task-level robustness summary for balanced_pid.
pick_failure_test,TASK-7B1-006,TUBE-7B1-006,4,0.256,0.178,0.322,2.528,1.519,0.598,x,PASS,Task-level robustness summary for balanced_pid.
pick_failure_test,TASK-7B1-006,TUBE-7B1-006,5,0.258,0.184,0.322,2.597,1.468,0.648,x,PASS,Task-level robustness summary for balanced_pid.
pick_failure_test,TASK-7B1-007,TUBE-7B1-007,1,0.244,0.168,0.317,1.032,0.897,0.629,x,PASS,Task-level robustness summary for balanced_pid.
pick_failure_test,TASK-7B1-007,TUBE-7B1-007,2,0.239,0.168,0.321,1.091,0.706,0.613,x,PASS,Task-level robustness summary for balanced_pid.
pick_failure_test,TASK-7B1-007,TUBE-7B1-007,3,0.241,0.17,0.319,0.993,0.84,0.616,x,PASS,Task-level robustness summary for balanced_pid.
pick_failure_test,TASK-7B1-007,TUBE-7B1-007,4,0.24,0.17,0.319,1.053,0.86,0.616,x,PASS,Task-level robustness summary for balanced_pid.
pick_failure_test,TASK-7B1-007,TUBE-7B1-007,5,0.24,0.165,0.32,1.157,0.866,0.607,x,PASS,Task-level robustness summary for balanced_pid.
pick_failure_test,TASK-7B1-008,TUBE-7B1-008,1,0.213,0.154,0.333,0.982,0.778,0.616,x,PASS,Task-level robustness summary for balanced_pid.
pick_failure_test,TASK-7B1-008,TUBE-7B1-008,2,0.218,0.15,0.332,0.958,0.686,0.599,x,PASS,Task-level robustness summary for balanced_pid.
pick_failure_test,TASK-7B1-008,TUBE-7B1-008,3,0.212,0.154,0.332,0.894,0.697,0.637,x,PASS,Task-level robustness summary for balanced_pid.
pick_failure_test,TASK-7B1-008,TUBE-7B1-008,4,0.211,0.151,0.333,0.879,0.628,0.645,x,PASS,Task-level robustness summary for balanced_pid.
pick_failure_test,TASK-7B1-008,TUBE-7B1-008,5,0.212,0.146,0.333,0.992,0.63,0.638,x,PASS,Task-level robustness summary for balanced_pid.
pick_failure_test,TASK-7B1-010,TUBE-7B1-010,1,0.234,0.154,0.321,0.899,0.614,0.624,x,PASS,Task-level robustness summary for balanced_pid.
pick_failure_test,TASK-7B1-010,TUBE-7B1-010,2,0.234,0.159,0.323,0.87,0.584,0.635,x,PASS,Task-level robustness summary for balanced_pid.
pick_failure_test,TASK-7B1-010,TUBE-7B1-010,3,0.234,0.158,0.324,0.929,0.521,0.62,x,PASS,Task-level robustness summary for balanced_pid.
pick_failure_test,TASK-7B1-010,TUBE-7B1-010,4,0.236,0.157,0.324,0.853,0.517,0.634,x,PASS,Task-level robustness summary for balanced_pid.
pick_failure_test,TASK-7B1-010,TUBE-7B1-010,5,0.241,0.154,0.319,0.843,0.579,0.627,x,PASS,Task-level robustness summary for balanced_pid.
pick_failure_test,TASK-7B1-011,TUBE-7B1-011,1,0.257,0.149,0.317,1.286,0.656,0.635,x,PASS,Task-level robustness summary for balanced_pid.
pick_failure_test,TASK-7B1-011,TUBE-7B1-011,2,0.259,0.149,0.319,1.247,0.649,0.606,x,PASS,Task-level robustness summary for balanced_pid.
pick_failure_test,TASK-7B1-011,TUBE-7B1-011,3,0.257,0.148,0.319,1.285,0.747,0.614,x,PASS,Task-level robustness summary for balanced_pid.
pick_failure_test,TASK-7B1-011,TUBE-7B1-011,4,0.258,0.151,0.318,1.25,0.621,0.62,x,PASS,Task-level robustness summary for balanced_pid.
pick_failure_test,TASK-7B1-011,TUBE-7B1-011,5,0.257,0.149,0.32,1.248,0.635,0.629,x,PASS,Task-level robustness summary for balanced_pid.
pick_failure_test,TASK-7B1-012,TUBE-7B1-012,1,0.239,0.138,0.331,1.431,0.875,0.611,x,PASS,Task-level robustness summary for balanced_pid.
pick_failure_test,TASK-7B1-012,TUBE-7B1-012,2,0.238,0.138,0.333,1.469,0.96,0.615,x,PASS,Task-level robustness summary for balanced_pid.
pick_failure_test,TASK-7B1-012,TUBE-7B1-012,3,0.233,0.133,0.33,1.496,0.939,0.62,x,PASS,Task-level robustness summary for balanced_pid.
pick_failure_test,TASK-7B1-012,TUBE-7B1-012,4,0.233,0.131,0.329,1.47,0.861,0.622,x,PASS,Task-level robustness summary for balanced_pid.
pick_failure_test,TASK-7B1-012,TUBE-7B1-012,5,0.233,0.135,0.33,1.393,0.894,0.6,x,PASS,Task-level robustness summary for balanced_pid.
pick_failure_test,TASK-7B1-013,TUBE-7B1-013,1,0.234,0.179,0.321,1.385,0.894,0.603,x,PASS,Task-level robustness summary for balanced_pid.
pick_failure_test,TASK-7B1-013,TUBE-7B1-013,2,0.229,0.179,0.321,1.441,0.869,0.653,x,PASS,Task-level robustness summary for balanced_pid.
pick_failure_test,TASK-7B1-013,TUBE-7B1-013,3,0.237,0.184,0.322,1.327,0.871,0.634,x,PASS,Task-level robustness summary for balanced_pid.
pick_failure_test,TASK-7B1-013,TUBE-7B1-013,4,0.234,0.18,0.322,1.36,0.733,0.616,x,PASS,Task-level robustness summary for balanced_pid.
pick_failure_test,TASK-7B1-013,TUBE-7B1-013,5,0.242,0.181,0.32,1.414,0.83,0.633,x,PASS,Task-level robustness summary for balanced_pid.
pick_failure_test,TASK-7B1-014,TUBE-7B1-014,1,0.216,0.135,0.334,0.831,0.561,0.609,x,PASS,Task-level robustness summary for balanced_pid.
pick_failure_test,TASK-7B1-014,TUBE-7B1-014,2,0.222,0.136,0.331,0.725,0.61,0.626,x,PASS,Task-level robustness summary for balanced_pid.
pick_failure_test,TASK-7B1-014,TUBE-7B1-014,3,0.216,0.139,0.328,0.767,0.508,0.635,x,PASS,Task-level robustness summary for balanced_pid.
pick_failure_test,TASK-7B1-014,TUBE-7B1-014,4,0.221,0.136,0.33,0.728,0.642,0.632,x,PASS,Task-level robustness summary for balanced_pid.
pick_failure_test,TASK-7B1-014,TUBE-7B1-014,5,0.215,0.135,0.331,0.802,0.588,0.62,x,PASS,Task-level robustness summary for balanced_pid.
pick_failure_test,TASK-7B1-015,TUBE-7B1-015,1,0.237,0.143,0.325,0.883,0.622,0.649,x,PASS,Task-level robustness summary for balanced_pid.
pick_failure_test,TASK-7B1-015,TUBE-7B1-015,2,0.238,0.138,0.322,0.774,0.49,0.621,x,PASS,Task-level robustness summary for balanced_pid.
pick_failure_test,TASK-7B1-015,TUBE-7B1-015,3,0.241,0.142,0.324,0.863,0.468,0.613,x,PASS,Task-level robustness summary for balanced_pid.
pick_failure_test,TASK-7B1-015,TUBE-7B1-015,4,0.242,0.139,0.324,0.877,0.619,0.615,x,PASS,Task-level robustness summary for balanced_pid.
pick_failure_test,TASK-7B1-015,TUBE-7B1-015,5,0.241,0.142,0.324,0.791,0.549,0.618,x,PASS,Task-level robustness summary for balanced_pid.
pick_failure_test,TASK-7B1-016,TUBE-7B1-016,1,0.248,0.135,0.324,0.785,0.427,0.63,x,PASS,Task-level robustness summary for balanced_pid.
pick_failure_test,TASK-7B1-016,TUBE-7B1-016,2,0.247,0.13,0.318,0.863,0.45,0.622,x,PASS,Task-level robustness summary for balanced_pid.
pick_failure_test,TASK-7B1-016,TUBE-7B1-016,3,0.252,0.133,0.322,0.854,0.457,0.626,x,PASS,Task-level robustness summary for balanced_pid.
pick_failure_test,TASK-7B1-016,TUBE-7B1-016,4,0.251,0.133,0.32,0.873,0.373,0.628,x,PASS,Task-level robustness summary for balanced_pid.
pick_failure_test,TASK-7B1-016,TUBE-7B1-016,5,0.247,0.134,0.321,0.84,0.504,0.602,x,PASS,Task-level robustness summary for balanced_pid.
pick_failure_test,TASK-7B1-017,TUBE-7B1-017,1,0.232,0.115,0.334,0.97,0.502,0.611,x,PASS,Task-level robustness summary for balanced_pid.
pick_failure_test,TASK-7B1-017,TUBE-7B1-017,2,0.231,0.119,0.332,1.04,0.508,0.625,x,PASS,Task-level robustness summary for balanced_pid.
pick_failure_test,TASK-7B1-017,TUBE-7B1-017,3,0.225,0.115,0.333,0.953,0.613,0.62,x,PASS,Task-level robustness summary for balanced_pid.
pick_failure_test,TASK-7B1-017,TUBE-7B1-017,4,0.232,0.117,0.334,1.0,0.513,0.604,x,PASS,Task-level robustness summary for balanced_pid.
pick_failure_test,TASK-7B1-017,TUBE-7B1-017,5,0.233,0.119,0.334,0.84,0.547,0.643,x,PASS,Task-level robustness summary for balanced_pid.
pick_failure_test,TASK-7B1-018,TUBE-7B1-018,1,0.247,0.118,0.33,1.109,0.603,0.606,x,PASS,Task-level robustness summary for balanced_pid.
pick_failure_test,TASK-7B1-018,TUBE-7B1-018,2,0.25,0.125,0.325,1.174,0.803,0.617,x,PASS,Task-level robustness summary for balanced_pid.
pick_failure_test,TASK-7B1-018,TUBE-7B1-018,3,0.249,0.122,0.326,1.109,0.734,0.613,x,PASS,Task-level robustness summary for balanced_pid.
pick_failure_test,TASK-7B1-018,TUBE-7B1-018,4,0.253,0.12,0.326,1.231,0.723,0.608,x,PASS,Task-level robustness summary for balanced_pid.
pick_failure_test,TASK-7B1-018,TUBE-7B1-018,5,0.25,0.122,0.328,1.136,0.787,0.611,x,PASS,Task-level robustness summary for balanced_pid.
pick_failure_test,TASK-7B1-019,TUBE-7B1-019,1,0.169,0.206,0.328,0.839,0.829,0.627,x,PASS,Task-level robustness summary for balanced_pid.
pick_failure_test,TASK-7B1-019,TUBE-7B1-019,2,0.17,0.203,0.329,0.869,0.768,0.634,x,PASS,Task-level robustness summary for balanced_pid.
pick_failure_test,TASK-7B1-019,TUBE-7B1-019,3,0.169,0.203,0.331,0.923,0.784,0.625,x,PASS,Task-level robustness summary for balanced_pid.
pick_failure_test,TASK-7B1-019,TUBE-7B1-019,4,0.168,0.208,0.328,0.757,0.798,0.646,y,PASS,Task-level robustness summary for balanced_pid.
pick_failure_test,TASK-7B1-019,TUBE-7B1-019,5,0.167,0.208,0.33,0.72,0.778,0.613,y,PASS,Task-level robustness summary for balanced_pid.
pick_failure_test,TASK-7B1-020,TUBE-7B1-020,1,0.209,0.201,0.323,1.513,0.823,0.624,x,PASS,Task-level robustness summary for balanced_pid.
pick_failure_test,TASK-7B1-020,TUBE-7B1-020,2,0.212,0.202,0.323,1.562,0.797,0.633,x,PASS,Task-level robustness summary for balanced_pid.
pick_failure_test,TASK-7B1-020,TUBE-7B1-020,3,0.212,0.201,0.323,1.408,0.828,0.618,x,PASS,Task-level robustness summary for balanced_pid.
pick_failure_test,TASK-7B1-020,TUBE-7B1-020,4,0.208,0.198,0.321,1.407,0.793,0.619,x,PASS,Task-level robustness summary for balanced_pid.
pick_failure_test,TASK-7B1-020,TUBE-7B1-020,5,0.211,0.197,0.324,1.415,0.812,0.651,x,PASS,Task-level robustness summary for balanced_pid.
pick_failure_test,TASK-7B1-021,TUBE-7B1-021,1,0.228,0.204,0.331,2.879,1.143,0.607,x,PASS,Task-level robustness summary for balanced_pid.
pick_failure_test,TASK-7B1-021,TUBE-7B1-021,2,0.234,0.201,0.332,3.047,1.216,0.607,x,PASS,Task-level robustness summary for balanced_pid.
pick_failure_test,TASK-7B1-021,TUBE-7B1-021,3,0.23,0.201,0.329,2.927,1.199,0.617,x,PASS,Task-level robustness summary for balanced_pid.
pick_failure_test,TASK-7B1-021,TUBE-7B1-021,4,0.233,0.201,0.335,3.034,1.265,0.626,x,PASS,Task-level robustness summary for balanced_pid.
pick_failure_test,TASK-7B1-021,TUBE-7B1-021,5,0.233,0.201,0.336,3.03,1.137,0.647,x,PASS,Task-level robustness summary for balanced_pid.
pick_failure_test,TASK-7B1-022,TUBE-7B1-022,1,0.196,0.174,0.326,0.72,0.748,0.602,y,PASS,Task-level robustness summary for balanced_pid.
pick_failure_test,TASK-7B1-022,TUBE-7B1-022,2,0.201,0.18,0.323,0.798,0.712,0.615,x,PASS,Task-level robustness summary for balanced_pid.
pick_failure_test,TASK-7B1-022,TUBE-7B1-022,3,0.202,0.183,0.326,0.869,0.809,0.608,x,PASS,Task-level robustness summary for balanced_pid.
pick_failure_test,TASK-7B1-022,TUBE-7B1-022,4,0.195,0.178,0.325,0.787,0.747,0.633,x,PASS,Task-level robustness summary for balanced_pid.
pick_failure_test,TASK-7B1-022,TUBE-7B1-022,5,0.199,0.18,0.327,0.798,0.788,0.636,x,PASS,Task-level robustness summary for balanced_pid.
pick_failure_test,TASK-7B1-023,TUBE-7B1-023,1,0.175,0.202,0.33,0.956,0.891,0.614,x,PASS,Task-level robustness summary for balanced_pid.
pick_failure_test,TASK-7B1-023,TUBE-7B1-023,2,0.176,0.201,0.33,0.918,0.703,0.642,x,PASS,Task-level robustness summary for balanced_pid.
pick_failure_test,TASK-7B1-023,TUBE-7B1-023,3,0.182,0.2,0.329,1.009,0.801,0.614,x,PASS,Task-level robustness summary for balanced_pid.
pick_failure_test,TASK-7B1-023,TUBE-7B1-023,4,0.176,0.202,0.328,0.949,0.812,0.645,x,PASS,Task-level robustness summary for balanced_pid.
pick_failure_test,TASK-7B1-023,TUBE-7B1-023,5,0.172,0.199,0.329,0.835,0.749,0.631,x,PASS,Task-level robustness summary for balanced_pid.
pick_failure_test,TASK-7B1-024,TUBE-7B1-024,1,0.201,0.184,0.325,0.982,0.739,0.63,x,PASS,Task-level robustness summary for balanced_pid.
pick_failure_test,TASK-7B1-024,TUBE-7B1-024,2,0.211,0.184,0.324,0.953,0.745,0.617,x,PASS,Task-level robustness summary for balanced_pid.
pick_failure_test,TASK-7B1-024,TUBE-7B1-024,3,0.201,0.185,0.325,0.999,0.843,0.64,x,PASS,Task-level robustness summary for balanced_pid.
pick_failure_test,TASK-7B1-024,TUBE-7B1-024,4,0.203,0.189,0.322,0.913,0.796,0.615,x,PASS,Task-level robustness summary for balanced_pid.
pick_failure_test,TASK-7B1-024,TUBE-7B1-024,5,0.203,0.186,0.324,0.808,0.788,0.636,x,PASS,Task-level robustness summary for balanced_pid.
pick_failure_test,TASK-7B1-025,TUBE-7B1-025,1,0.18,0.168,0.335,0.963,0.747,0.626,x,PASS,Task-level robustness summary for balanced_pid.
pick_failure_test,TASK-7B1-025,TUBE-7B1-025,2,0.173,0.171,0.334,0.791,0.778,0.625,x,PASS,Task-level robustness summary for balanced_pid.
pick_failure_test,TASK-7B1-025,TUBE-7B1-025,3,0.174,0.173,0.339,0.778,0.817,0.622,y,PASS,Task-level robustness summary for balanced_pid.
pick_failure_test,TASK-7B1-025,TUBE-7B1-025,4,0.176,0.169,0.332,0.788,0.745,0.616,x,PASS,Task-level robustness summary for balanced_pid.
pick_failure_test,TASK-7B1-025,TUBE-7B1-025,5,0.176,0.17,0.336,0.819,0.686,0.619,x,PASS,Task-level robustness summary for balanced_pid.
pick_failure_test,TASK-7B1-026,TUBE-7B1-026,1,0.211,0.178,0.326,0.895,0.998,0.607,y,PASS,Task-level robustness summary for balanced_pid.
pick_failure_test,TASK-7B1-026,TUBE-7B1-026,2,0.216,0.173,0.33,0.935,0.951,0.616,y,PASS,Task-level robustness summary for balanced_pid.
pick_failure_test,TASK-7B1-026,TUBE-7B1-026,3,0.211,0.176,0.326,0.935,0.957,0.623,y,PASS,Task-level robustness summary for balanced_pid.
pick_failure_test,TASK-7B1-026,TUBE-7B1-026,4,0.213,0.17,0.329,0.912,0.862,0.613,x,PASS,Task-level robustness summary for balanced_pid.
pick_failure_test,TASK-7B1-026,TUBE-7B1-026,5,0.214,0.178,0.328,0.998,0.982,0.625,x,PASS,Task-level robustness summary for balanced_pid.
pick_failure_test,TASK-7B1-027,TUBE-7B1-027,1,0.14,0.192,0.341,0.609,1.049,0.625,y,PASS,Task-level robustness summary for balanced_pid.
pick_failure_test,TASK-7B1-027,TUBE-7B1-027,2,0.143,0.192,0.34,0.544,1.077,0.623,y,PASS,Task-level robustness summary for balanced_pid.
pick_failure_test,TASK-7B1-027,TUBE-7B1-027,3,0.138,0.187,0.342,0.556,1.16,0.622,y,PASS,Task-level robustness summary for balanced_pid.
pick_failure_test,TASK-7B1-027,TUBE-7B1-027,4,0.138,0.193,0.339,0.577,1.082,0.649,y,PASS,Task-level robustness summary for balanced_pid.
pick_failure_test,TASK-7B1-027,TUBE-7B1-027,5,0.141,0.191,0.339,0.541,1.106,0.602,y,PASS,Task-level robustness summary for balanced_pid.
pick_failure_test,TASK-7B1-028,TUBE-7B1-028,1,0.192,0.194,0.331,1.164,0.78,0.618,x,PASS,Task-level robustness summary for balanced_pid.
pick_failure_test,TASK-7B1-028,TUBE-7B1-028,2,0.189,0.19,0.331,1.136,0.819,0.645,x,PASS,Task-level robustness summary for balanced_pid.
pick_failure_test,TASK-7B1-028,TUBE-7B1-028,3,0.188,0.192,0.33,1.18,0.737,0.609,x,PASS,Task-level robustness summary for balanced_pid.
pick_failure_test,TASK-7B1-028,TUBE-7B1-028,4,0.184,0.192,0.331,1.018,0.79,0.624,x,PASS,Task-level robustness summary for balanced_pid.
pick_failure_test,TASK-7B1-028,TUBE-7B1-028,5,0.184,0.192,0.33,1.114,0.741,0.649,x,PASS,Task-level robustness summary for balanced_pid.
pick_failure_test,TASK-7B1-029,TUBE-7B1-029,1,0.173,0.227,0.337,0.789,2.46,0.674,y,PASS,Task-level robustness summary for balanced_pid.
pick_failure_test,TASK-7B1-029,TUBE-7B1-029,2,0.177,0.224,0.336,0.762,2.435,0.655,y,PASS,Task-level robustness summary for balanced_pid.
pick_failure_test,TASK-7B1-029,TUBE-7B1-029,3,0.171,0.227,0.333,0.813,2.423,0.621,y,PASS,Task-level robustness summary for balanced_pid.
pick_failure_test,TASK-7B1-029,TUBE-7B1-029,4,0.175,0.226,0.335,0.735,2.454,0.622,y,PASS,Task-level robustness summary for balanced_pid.
pick_failure_test,TASK-7B1-029,TUBE-7B1-029,5,0.176,0.229,0.336,0.848,2.535,0.627,y,PASS,Task-level robustness summary for balanced_pid.
pick_failure_test,TASK-7B1-030,TUBE-7B1-030,1,0.15,0.201,0.344,0.699,2.295,0.648,y,PASS,Task-level robustness summary for balanced_pid.
pick_failure_test,TASK-7B1-030,TUBE-7B1-030,2,0.15,0.201,0.346,0.795,2.282,0.624,y,PASS,Task-level robustness summary for balanced_pid.
pick_failure_test,TASK-7B1-030,TUBE-7B1-030,3,0.15,0.199,0.345,0.802,2.264,0.628,y,PASS,Task-level robustness summary for balanced_pid.
pick_failure_test,TASK-7B1-030,TUBE-7B1-030,4,0.148,0.201,0.346,0.722,2.318,0.607,y,PASS,Task-level robustness summary for balanced_pid.
pick_failure_test,TASK-7B1-030,TUBE-7B1-030,5,0.143,0.199,0.342,0.781,2.276,0.62,y,PASS,Task-level robustness summary for balanced_pid.
pick_failure_test,TASK-7B1-031,TUBE-7B1-031,1,0.23,0.193,0.325,1.205,2.366,0.594,y,PASS,Task-level robustness summary for balanced_pid.
pick_failure_test,TASK-7B1-031,TUBE-7B1-031,2,0.224,0.192,0.324,1.049,2.44,0.606,y,PASS,Task-level robustness summary for balanced_pid.
pick_failure_test,TASK-7B1-031,TUBE-7B1-031,3,0.224,0.195,0.329,1.118,2.373,0.623,y,PASS,Task-level robustness summary for balanced_pid.
pick_failure_test,TASK-7B1-031,TUBE-7B1-031,4,0.226,0.191,0.328,1.247,2.302,0.664,y,PASS,Task-level robustness summary for balanced_pid.
pick_failure_test,TASK-7B1-031,TUBE-7B1-031,5,0.222,0.189,0.329,0.99,2.254,0.617,y,PASS,Task-level robustness summary for balanced_pid.
pick_failure_test,TASK-7B1-032,TUBE-7B1-032,1,0.165,0.191,0.343,1.21,1.82,0.617,y,PASS,Task-level robustness summary for balanced_pid.
pick_failure_test,TASK-7B1-032,TUBE-7B1-032,2,0.164,0.201,0.34,1.246,1.987,0.616,y,PASS,Task-level robustness summary for balanced_pid.
pick_failure_test,TASK-7B1-032,TUBE-7B1-032,3,0.161,0.197,0.341,1.211,1.888,0.622,y,PASS,Task-level robustness summary for balanced_pid.
pick_failure_test,TASK-7B1-032,TUBE-7B1-032,4,0.166,0.2,0.341,1.267,1.946,0.619,y,PASS,Task-level robustness summary for balanced_pid.
pick_failure_test,TASK-7B1-032,TUBE-7B1-032,5,0.161,0.201,0.34,1.163,1.94,0.614,y,PASS,Task-level robustness summary for balanced_pid.
pick_failure_test,TASK-7B1-033,TUBE-7B1-033,1,0.183,0.164,0.336,0.692,0.659,0.607,x,PASS,Task-level robustness summary for balanced_pid.
pick_failure_test,TASK-7B1-033,TUBE-7B1-033,2,0.18,0.161,0.336,0.752,0.678,0.625,x,PASS,Task-level robustness summary for balanced_pid.
pick_failure_test,TASK-7B1-033,TUBE-7B1-033,3,0.177,0.17,0.336,0.693,0.782,0.618,y,PASS,Task-level robustness summary for balanced_pid.
pick_failure_test,TASK-7B1-033,TUBE-7B1-033,4,0.182,0.167,0.336,0.688,0.752,0.608,y,PASS,Task-level robustness summary for balanced_pid.
pick_failure_test,TASK-7B1-033,TUBE-7B1-033,5,0.18,0.168,0.332,0.656,0.741,0.625,y,PASS,Task-level robustness summary for balanced_pid.
pick_failure_test,TASK-7B1-034,TUBE-7B1-034,1,0.15,0.146,0.349,0.809,0.617,0.598,x,PASS,Task-level robustness summary for balanced_pid.
pick_failure_test,TASK-7B1-034,TUBE-7B1-034,2,0.155,0.145,0.348,0.906,0.659,0.619,x,PASS,Task-level robustness summary for balanced_pid.
pick_failure_test,TASK-7B1-034,TUBE-7B1-034,3,0.155,0.145,0.346,0.877,0.625,0.62,x,PASS,Task-level robustness summary for balanced_pid.
pick_failure_test,TASK-7B1-034,TUBE-7B1-034,4,0.155,0.146,0.348,0.942,0.692,0.619,x,PASS,Task-level robustness summary for balanced_pid.
pick_failure_test,TASK-7B1-034,TUBE-7B1-034,5,0.152,0.147,0.347,0.929,0.738,0.627,x,PASS,Task-level robustness summary for balanced_pid.
pick_failure_test,TASK-7B1-035,TUBE-7B1-035,1,0.278,0.06,0.321,1.31,0.263,0.613,x,PASS,Task-level robustness summary for balanced_pid.
pick_failure_test,TASK-7B1-035,TUBE-7B1-035,2,0.284,0.057,0.327,1.27,0.164,0.62,x,PASS,Task-level robustness summary for balanced_pid.
pick_failure_test,TASK-7B1-035,TUBE-7B1-035,3,0.279,0.059,0.325,1.295,0.157,0.634,x,PASS,Task-level robustness summary for balanced_pid.
