scenario_id,task_id,tube_id,waypoint_index,waypoint_name,x_mm,y_mm,z_mm,gripper_state,sample_category,target_type,target_box_id,source_slot_id,state_machine_status,notes
baseline,TASK-7B1-008,TUBE-7B1-008,12,grip_open,205.0,10.0,135.0,open,category_C,output_box,output_box_C,R2C4,completed_output,release tube
baseline,TASK-7B1-008,TUBE-7B1-008,13,lift_to_safe_z_after_place,205.0,10.0,190.0,open,category_C,output_box,output_box_C,R2C4,completed_output,return to safe_z after place
baseline,TASK-7B1-009,TUBE-7B1-009,1,home_safe,0.0,0.0,190.0,open,category_D,output_box,output_box_D,R2C5,completed_output,safe home above rack/tube top
baseline,TASK-7B1-009,TUBE-7B1-009,2,move_xy_above_pick,-140.0,-145.0,190.0,open,category_D,output_box,output_box_D,R2C5,completed_output,XY move only at safe_z
baseline,TASK-7B1-009,TUBE-7B1-009,3,descend_to_pick,-140.0,-145.0,145.0,open,category_D,output_box,output_box_D,R2C5,completed_output,Z descend allowed at pick target
baseline,TASK-7B1-009,TUBE-7B1-009,4,grip_close,-140.0,-145.0,145.0,closed,category_D,output_box,output_box_D,R2C5,completed_output,gripper action
baseline,TASK-7B1-009,TUBE-7B1-009,5,lift_to_safe_z,-140.0,-145.0,190.0,closed,category_D,output_box,output_box_D,R2C5,completed_output,lift before XY travel
baseline,TASK-7B1-009,TUBE-7B1-009,6,move_xy_above_scan,0.0,20.0,190.0,closed,category_D,output_box,output_box_D,R2C5,completed_output,"scan is table-driven, no camera recognition"
baseline,TASK-7B1-009,TUBE-7B1-009,7,descend_or_align_to_scan,0.0,20.0,155.0,closed,category_D,output_box,output_box_D,R2C5,completed_output,scan alignment placeholder
baseline,TASK-7B1-009,TUBE-7B1-009,8,scan_wait,0.0,20.0,155.0,closed,category_D,output_box,output_box_D,R2C5,completed_output,barcode/status wait; no vision localization
baseline,TASK-7B1-009,TUBE-7B1-009,9,lift_to_safe_z_after_scan,0.0,20.0,190.0,closed,category_D,output_box,output_box_D,R2C5,completed_output,lift before place XY
baseline,TASK-7B1-009,TUBE-7B1-009,10,move_xy_above_place,355.0,10.0,190.0,closed,category_D,output_box,output_box_D,R2C5,completed_output,XY place move at safe_z
baseline,TASK-7B1-009,TUBE-7B1-009,11,descend_to_place,355.0,10.0,135.0,closed,category_D,output_box,output_box_D,R2C5,completed_output,Z descend allowed at place target
baseline,TASK-7B1-009,TUBE-7B1-009,12,grip_open,355.0,10.0,135.0,open,category_D,output_box,output_box_D,R2C5,completed_output,release tube
baseline,TASK-7B1-009,TUBE-7B1-009,13,lift_to_safe_z_after_place,355.0,10.0,190.0,open,category_D,output_box,output_box_D,R2C5,completed_output,return to safe_z after place
baseline,TASK-7B1-010,TUBE-7B1-010,1,home_safe,0.0,0.0,190.0,open,category_A,output_box,output_box_A,R3C1,completed_output,safe home above rack/tube top
baseline,TASK-7B1-010,TUBE-7B1-010,2,move_xy_above_pick,-240.0,-120.0,190.0,open,category_A,output_box,output_box_A,R3C1,completed_output,XY move only at safe_z
baseline,TASK-7B1-010,TUBE-7B1-010,3,descend_to_pick,-240.0,-120.0,145.0,open,category_A,output_box,output_box_A,R3C1,completed_output,Z descend allowed at pick target
baseline,TASK-7B1-010,TUBE-7B1-010,4,grip_close,-240.0,-120.0,145.0,closed,category_A,output_box,output_box_A,R3C1,completed_output,gripper action
baseline,TASK-7B1-010,TUBE-7B1-010,5,lift_to_safe_z,-240.0,-120.0,190.0,closed,category_A,output_box,output_box_A,R3C1,completed_output,lift before XY travel
baseline,TASK-7B1-010,TUBE-7B1-010,6,move_xy_above_scan,0.0,20.0,190.0,closed,category_A,output_box,output_box_A,R3C1,completed_output,"scan is table-driven, no camera recognition"
baseline,TASK-7B1-010,TUBE-7B1-010,7,descend_or_align_to_scan,0.0,20.0,155.0,closed,category_A,output_box,output_box_A,R3C1,completed_output,scan alignment placeholder
baseline,TASK-7B1-010,TUBE-7B1-010,8,scan_wait,0.0,20.0,155.0,closed,category_A,output_box,output_box_A,R3C1,completed_output,barcode/status wait; no vision localization
baseline,TASK-7B1-010,TUBE-7B1-010,9,lift_to_safe_z_after_scan,0.0,20.0,190.0,closed,category_A,output_box,output_box_A,R3C1,completed_output,lift before place XY
baseline,TASK-7B1-010,TUBE-7B1-010,10,move_xy_above_place,230.0,-170.0,190.0,closed,category_A,output_box,output_box_A,R3C1,completed_output,XY place move at safe_z
baseline,TASK-7B1-010,TUBE-7B1-010,11,descend_to_place,230.0,-170.0,135.0,closed,category_A,output_box,output_box_A,R3C1,completed_output,Z descend allowed at place target
baseline,TASK-7B1-010,TUBE-7B1-010,12,grip_open,230.0,-170.0,135.0,open,category_A,output_box,output_box_A,R3C1,completed_output,release tube
baseline,TASK-7B1-010,TUBE-7B1-010,13,lift_to_safe_z_after_place,230.0,-170.0,190.0,open,category_A,output_box,output_box_A,R3C1,completed_output,return to safe_z after place
baseline,TASK-7B1-011,TUBE-7B1-011,1,home_safe,0.0,0.0,190.0,open,category_B,output_box,output_box_B,R3C2,completed_output,safe home above rack/tube top
baseline,TASK-7B1-011,TUBE-7B1-011,2,move_xy_above_pick,-215.0,-120.0,190.0,open,category_B,output_box,output_box_B,R3C2,completed_output,XY move only at safe_z
baseline,TASK-7B1-011,TUBE-7B1-011,3,descend_to_pick,-215.0,-120.0,145.0,open,category_B,output_box,output_box_B,R3C2,completed_output,Z descend allowed at pick target
baseline,TASK-7B1-011,TUBE-7B1-011,4,grip_close,-215.0,-120.0,145.0,closed,category_B,output_box,output_box_B,R3C2,completed_output,gripper action
baseline,TASK-7B1-011,TUBE-7B1-011,5,lift_to_safe_z,-215.0,-120.0,190.0,closed,category_B,output_box,output_box_B,R3C2,completed_output,lift before XY travel
baseline,TASK-7B1-011,TUBE-7B1-011,6,move_xy_above_scan,0.0,20.0,190.0,closed,category_B,output_box,output_box_B,R3C2,completed_output,"scan is table-driven, no camera recognition"
baseline,TASK-7B1-011,TUBE-7B1-011,7,descend_or_align_to_scan,0.0,20.0,155.0,closed,category_B,output_box,output_box_B,R3C2,completed_output,scan alignment placeholder
