scenario_id,task_id,tube_id,segment_index,from_waypoint,to_waypoint,motion_type,axis_mode,start_x_mm,start_y_mm,start_z_mm,end_x_mm,end_y_mm,end_z_mm,segment_distance_mm,requires_safe_z,collision_check_required,notes
baseline,TASK-7B1-006,TUBE-7B1-006,9,lift_to_safe_z_after_scan,move_xy_above_place,xy_move_at_safe_z,xy_axes,0.0,20.0,190.0,205.0,-170.0,190.0,279.508,true,true,XY travel is constrained to safe_z
baseline,TASK-7B1-006,TUBE-7B1-006,10,move_xy_above_place,descend_to_place,z_descend,z_axis,205.0,-170.0,190.0,205.0,-170.0,135.0,55.0,true,true,
baseline,TASK-7B1-006,TUBE-7B1-006,11,descend_to_place,grip_open,gripper_action,gripper,205.0,-170.0,135.0,205.0,-170.0,135.0,0.0,false,false,
baseline,TASK-7B1-006,TUBE-7B1-006,12,grip_open,lift_to_safe_z_after_place,z_lift,z_axis,205.0,-170.0,135.0,205.0,-170.0,190.0,55.0,true,true,
baseline,TASK-7B1-007,TUBE-7B1-007,1,home_safe,move_xy_above_pick,xy_move_at_safe_z,xy_axes,0.0,0.0,190.0,-190.0,-145.0,190.0,239.008,true,true,XY travel is constrained to safe_z
baseline,TASK-7B1-007,TUBE-7B1-007,2,move_xy_above_pick,descend_to_pick,z_descend,z_axis,-190.0,-145.0,190.0,-190.0,-145.0,145.0,45.0,true,true,
baseline,TASK-7B1-007,TUBE-7B1-007,3,descend_to_pick,grip_close,gripper_action,gripper,-190.0,-145.0,145.0,-190.0,-145.0,145.0,0.0,false,false,
baseline,TASK-7B1-007,TUBE-7B1-007,4,grip_close,lift_to_safe_z,z_lift,z_axis,-190.0,-145.0,145.0,-190.0,-145.0,190.0,45.0,true,true,
baseline,TASK-7B1-007,TUBE-7B1-007,5,lift_to_safe_z,move_xy_above_scan,xy_move_at_safe_z,xy_axes,-190.0,-145.0,190.0,0.0,20.0,190.0,251.645,true,true,XY travel is constrained to safe_z
baseline,TASK-7B1-007,TUBE-7B1-007,6,move_xy_above_scan,descend_or_align_to_scan,z_descend,z_axis,0.0,20.0,190.0,0.0,20.0,155.0,35.0,true,true,
baseline,TASK-7B1-007,TUBE-7B1-007,7,descend_or_align_to_scan,scan_wait,scan_wait,dwell,0.0,20.0,155.0,0.0,20.0,155.0,0.0,false,false,
baseline,TASK-7B1-007,TUBE-7B1-007,8,scan_wait,lift_to_safe_z_after_scan,z_lift,z_axis,0.0,20.0,155.0,0.0,20.0,190.0,35.0,true,true,
baseline,TASK-7B1-007,TUBE-7B1-007,9,lift_to_safe_z_after_scan,move_xy_above_place,xy_move_at_safe_z,xy_axes,0.0,20.0,190.0,355.0,-170.0,190.0,402.647,true,true,XY travel is constrained to safe_z
baseline,TASK-7B1-007,TUBE-7B1-007,10,move_xy_above_place,descend_to_place,z_descend,z_axis,355.0,-170.0,190.0,355.0,-170.0,135.0,55.0,true,true,
baseline,TASK-7B1-007,TUBE-7B1-007,11,descend_to_place,grip_open,gripper_action,gripper,355.0,-170.0,135.0,355.0,-170.0,135.0,0.0,false,false,
baseline,TASK-7B1-007,TUBE-7B1-007,12,grip_open,lift_to_safe_z_after_place,z_lift,z_axis,355.0,-170.0,135.0,355.0,-170.0,190.0,55.0,true,true,
baseline,TASK-7B1-008,TUBE-7B1-008,1,home_safe,move_xy_above_pick,xy_move_at_safe_z,xy_axes,0.0,0.0,190.0,-165.0,-145.0,190.0,219.659,true,true,XY travel is constrained to safe_z
baseline,TASK-7B1-008,TUBE-7B1-008,2,move_xy_above_pick,descend_to_pick,z_descend,z_axis,-165.0,-145.0,190.0,-165.0,-145.0,145.0,45.0,true,true,
baseline,TASK-7B1-008,TUBE-7B1-008,3,descend_to_pick,grip_close,gripper_action,gripper,-165.0,-145.0,145.0,-165.0,-145.0,145.0,0.0,false,false,
baseline,TASK-7B1-008,TUBE-7B1-008,4,grip_close,lift_to_safe_z,z_lift,z_axis,-165.0,-145.0,145.0,-165.0,-145.0,190.0,45.0,true,true,
